Trial,ImageA,ImageB,ImageC,CategoryB,ListNum
1,images/egg_easter.jpg,images/forbidden_city_c.jpg,images/notebook_black.png,object-scene,1
2,images/mannequin.jpg,images/ellen_degeneres_b.jpg,images/soap.png,object-face,1
3,images/puzzlepiece.png,images/michelle_obama_a.jpg,images/microwave.png,object-face,1
4,images/eyeMask.jpg,images/jackie_kennedy_a.jpg,images/match.png,object-face,1
5,images/skirt.jpg,images/giants_causeway_b.jpg,images/rope_skipping.png,object-scene,1
6,images/quartz.png,images/emma_watson.jpg,images/napkin_ring.png,object-face,1
7,images/flashlight.png,images/jamie_foxx_b.jpg,images/net_butterfly.jpg,object-face,1
8,images/ball_baseball.png,images/joshua_tree_c.jpg,images/watergun.png,object-scene,1
9,images/flute_wooden.jpg,images/glacier_national_park_c.jpg,images/paintcan.jpg,object-scene,1
10,images/bathrobe.png,images/great_wall_of_china_c.jpg,images/skates.png,object-scene,1
11,images/checkers_board.png,images/bill_gates_a.jpg,images/toyTrain.png,object-face,1
12,images/boat_sail.png,images/gaudi_cathedral_c.jpg,images/pailGarden.jpg,object-scene,1
13,images/chain_rusty.png,images/oprah_b.jpg,images/package.png,object-face,2
14,images/milk_shake.jpg,images/acropolis_c.jpg,images/clock_digital.png,object-scene,2
15,images/diving_board.jpg,images/giza_pyramids_c.jpg,images/pencilCase.png,object-scene,2
16,images/shoe_pumps.jpg,images/times_square_b.jpg,images/origamiPaper.png,object-scene,2
17,images/bandage.jpg,images/jennifer_aniston_a.jpg,images/wreath.png,object-face,2
18,images/ring_diamond.png,images/golden_gate_bridge_b.jpg,images/mop.png,object-scene,2
19,images/barrel.jpg,images/mark_zuckerberg_c.jpg,images/megaphone.png,object-face,2
20,images/ball_8.png,images/hillary_clinton_a.jpg,images/pants.png,object-face,2
21,images/pants_firefighter.jpg,images/neuschwanstein_castle_c.jpg,images/peppermill.png,object-scene,2
22,images/sundae_banana.jpg,images/grand_canyon_c.jpg,images/pajamas.png,object-scene,2
23,images/shield_antique.png,images/amy_poehler_c.jpg,images/mug.png,object-face,2
24,images/scooter.png,images/courtney_cox_c.jpg,images/pan_muffin.png,object-face,2
25,images/feather.png,images/gwen_stefani_c.jpg,images/mask_hockeygoalie.png,object-face,3
26,images/goggles_swim.png,images/dakota_fanning_c.jpg,images/outhouse.png,object-face,3
27,images/balloon.jpg,images/stonehenge_b.jpg,images/stroller.jpg,object-scene,3
28,images/socks_winter.png,images/flatiron_building_b.jpg,images/paddle.png,object-scene,3
29,images/champagne.jpg,images/grand_tetons_a.jpg,images/ruler_triangle.png,object-scene,3
30,images/donutFloaty.jpg,images/katy_perry.jpg,images/teddybear_brown.jpg,object-face,3
31,images/drill.jpg,images/queen_elizabeth_a.jpg,images/paper towel.jpg,object-face,3
32,images/firehydrant.png,images/eiffel_tower_c.jpg,images/mitten.png,object-scene,3
33,images/guitar_electric.png,images/waikiki_c.jpg,images/pen.png,object-scene,3
34,images/glasses_sun.png,images/iguazu_falls_b.jpg,images/notepad.jpg,object-scene,3
35,images/portapotty.png,images/julia_roberts_c.jpg,images/newspaper_stack.png,object-face,3
36,images/figurine_ballerina.jpg,images/emma_stone.jpg,images/oven.png,object-face,3
37,images/fuzzydice.jpg,images/james_franco_c.jpg,images/necklace_pearl.jpg,object-face,4
38,images/bag_gift.png,images/arches_national_park_a.jpg,images/noisemaker.jpg,object-scene,4
39,images/gametable_airhockey.png,images/machu_picchu_c.jpg,images/worldmap.png,object-scene,4
40,images/drum.png,images/serengeti_c.jpg,images/motorcycle.png,object-scene,4
41,images/dog_toy.png,images/tower_of_pisa_c.jpg,images/mousepad.png,object-scene,4
42,images/snorkle.jpg,images/jimmy_fallon.jpg,images/mechanic.jpg,object-face,4
43,images/castle_sand.png,images/neil_patrick_harris.jpg,images/pacifier.png,object-face,4
44,images/fan.png,images/george_clooney_a.jpg,images/cinnamonroll.png,object-face,4
45,images/bib.png,images/drew_barrymore_c.jpg,images/mask_black.jpg,object-face,4
46,images/chest_toys.png,images/empire_state_building_a.jpg,images/paddle_bread.png,object-scene,4
47,images/flipflopsBlue.png,images/kristen_stewart.jpg,images/partyDress.png,object-face,4
48,images/carton_eggs.jpg,images/cn_tower_b.jpg,images/paddle ball.jpg,object-scene,4
