instructions1,Instructions2,Image1,Image2,Image3,Image_4,position_1x,position_1y,position_2x,position_2y,J_key,K_key,L_key,yes_text,no_text,trial_in_list,image_a,location1,correct_category_pair,location2,location3,correct_image,List,trial_num,block,Trial,ImageA,ImageB,ImageC,CategoryB,ListNum,instruction_intentional_encoding.thisRepN,instruction_intentional_encoding.thisTrialN,instruction_intentional_encoding.thisN,instruction_intentional_encoding.thisIndex,practice_trials_intentional_encoding.thisRepN,practice_trials_intentional_encoding.thisTrialN,practice_trials_intentional_encoding.thisN,practice_trials_intentional_encoding.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,instructions_text2.started,instructions_text2.stopped,response.keys,response.rt,response.started,response.stopped,image1.started,image1.stopped,image2.started,image2.stopped,J_press_instructions.started,J_press_instructions.stopped,F_key_instruct.started,F_key_instruct.stopped,arrow.started,arrow.stopped,yes_press.started,yes_press.stopped,no_press.started,no_press.stopped,imageA.started,imageA.stopped,b_image.started,b_image.stopped,text_9.started,text_9.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,image_pair1.started,image_pair1.stopped,image_pair2.started,image_pair2.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
"Welcome to the memory game! In this game, you must learn which images go together.",Press space to continue!,None,None,None,None,0,0.3,0.0,-0.4, , , , , ,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,12.42234095398453,None,12.42234095398453,None,space,0.8679055020038504,12.42234095398453,None,12.42234095398453,None,12.42234095398453,None,12.384086106001632,None,12.384086106001632,None,12.384086106001632,None,12.384086106001632,None,12.384086106001632,None,,,,,,,,,,,,,,,65,001,,,2020_Sep_05_1757,reactive_intentional_encoding_looped,3.2.4,59.840604256269536,
"You will see two images on the left and right side of the screen, like this.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4, , , , , ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,13.48296511999797,None,13.48296511999797,None,space,0.26759563098312356,13.48296511999797,None,13.48296511999797,None,13.48296511999797,None,13.327824078995036,None,13.327824078995036,None,13.327824078995036,None,13.327824078995036,None,13.327824078995036,None,,,,,,,,,,,,,,,65,001,,,2020_Sep_05_1757,reactive_intentional_encoding_looped,3.2.4,59.840604256269536,
Your job is to remember that these images go together. ,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4, , , , , ,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,13.86768582998775,None,13.86768582998775,None,space,0.28473268199013546,13.86768582998775,None,13.86768582998775,None,13.86768582998775,None,13.805464482982643,None,13.805464482982643,None,13.805464482982643,None,13.805464482982643,None,13.805464482982643,None,,,,,,,,,,,,,,,65,001,,,2020_Sep_05_1757,reactive_intentional_encoding_looped,3.2.4,59.840604256269536,
"You could link them through a story. For example, jessica alba likes books.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4, , , , , ,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,14.279206959996372,None,14.279206959996372,None,space,0.2780313270050101,14.279206959996372,None,14.279206959996372,None,14.279206959996372,None,14.21472185399034,None,14.21472185399034,None,14.21472185399034,None,14.21472185399034,None,14.21472185399034,None,,,,,,,,,,,,,,,65,001,,,2020_Sep_05_1757,reactive_intentional_encoding_looped,3.2.4,59.840604256269536,
"After you see the images, we will test your memory.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4, , , , , ,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,14.705179195007076,None,14.705179195007076,None,space,0.27305852802237496,14.705179195007076,None,14.705179195007076,None,14.705179195007076,None,14.62171021499671,None,14.62171021499671,None,14.62171021499671,None,14.62171021499671,None,14.62171021499671,None,,,,,,,,,,,,,,,65,001,,,2020_Sep_05_1757,reactive_intentional_encoding_looped,3.2.4,59.840604256269536,
"Get ready to see the images! Each pair will only last on the screen for a few seconds, so pay attention.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4, , , , , ,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,15.125868475006428,None,15.125868475006428,None,space,0.24547516900929622,15.125868475006428,None,15.125868475006428,None,15.125868475006428,None,15.057727076986339,None,15.057727076986339,None,15.057727076986339,None,15.057727076986339,None,15.057727076986339,None,,,,,,,,,,,,,,,65,001,,,2020_Sep_05_1757,reactive_intentional_encoding_looped,3.2.4,59.840604256269536,
We'll first do a practice to get you familiar with the game.,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4, , , , , ,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,15.488378262001788,None,15.488378262001788,None,space,0.5260095349804033,15.488378262001788,None,15.488378262001788,None,15.488378262001788,None,15.422215055994457,None,15.422215055994457,None,15.422215055994457,None,15.422215055994457,None,15.422215055994457,None,,,,,,,,,,,,,,,65,001,,,2020_Sep_05_1757,reactive_intentional_encoding_looped,3.2.4,59.840604256269536,
"When you're ready to start the practice, press space!",Press space to continue!,None,None,None,None,0,0.0,None,None, , , , , ,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,16.121495733008487,None,16.121495733008487,None,space,0.4617054100090172,16.121495733008487,None,16.121495733008487,None,16.121495733008487,None,16.072550290991785,None,16.072550290991785,None,16.072550290991785,None,16.072550290991785,None,16.072550290991785,None,,,,,,,,,,,,,,,65,001,,,2020_Sep_05_1757,reactive_intentional_encoding_looped,3.2.4,59.840604256269536,
,,,,,,,,,,,,,,,1,images/giftbow01.png,images/willie_nelson_b.jpg,object-face,images/electricoutlet.png,images/chick.jpg,images/willie_nelson_b.jpg,0,0,practice,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.662150076008402,None,16.662150076008402,None,,,,,,,,,,,65,001,,,2020_Sep_05_1757,reactive_intentional_encoding_looped,3.2.4,59.840604256269536,
,,,,,,,,,,,,,,,2,images/globe.png,images/earrings_dangling.jpg,object-scene,images/wrigley_field_b.jpg,images/barrel.jpg,images/wrigley_field_b.jpg,0,0,practice,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,16.77830999798607,None,16.77830999798607,None,,,,,,,,,,,65,001,,,2020_Sep_05_1757,reactive_intentional_encoding_looped,3.2.4,59.840604256269536,
