trial,image_a,image_b,category_b,location_a,Location_b,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction_text.started,Instruction_text.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,left,right,0,0,0,0,21.589279045991134,None,45.47164576599607,None,45.47164576599607,None,77,001,2020_May_28_2230,reactive_intentional_encoding,3.2.4,59.92263639932235,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,left,right,0,1,1,1,,,49.904518373994506,None,49.904518373994506,None,77,001,2020_May_28_2230,reactive_intentional_encoding,3.2.4,59.92263639932235,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,left,right,0,2,2,2,,,54.4048588059959,None,54.4048588059959,None,77,001,2020_May_28_2230,reactive_intentional_encoding,3.2.4,59.92263639932235,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,left,right,0,3,3,3,,,58.90469814599783,None,58.90469814599783,None,77,001,2020_May_28_2230,reactive_intentional_encoding,3.2.4,59.92263639932235,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,left,right,0,4,4,4,,,63.40476567999576,None,63.40476567999576,None,77,001,2020_May_28_2230,reactive_intentional_encoding,3.2.4,59.92263639932235,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,left,right,0,5,5,5,,,67.9045524099929,None,67.9045524099929,None,77,001,2020_May_28_2230,reactive_intentional_encoding,3.2.4,59.92263639932235,
7,images/barrel.jpg,images/emma_stone.jpg,face,left,right,0,6,6,6,,,72.42126368799654,None,72.42126368799654,None,77,001,2020_May_28_2230,reactive_intentional_encoding,3.2.4,59.92263639932235,
8,images/bathrobe.png,images/emma_watson.jpg,face,left,right,0,7,7,7,,,76.90458726100042,None,76.90458726100042,None,77,001,2020_May_28_2230,reactive_intentional_encoding,3.2.4,59.92263639932235,
9,images/beetle.png,images/george_clooney_a.jpg,face,left,right,0,8,8,8,,,81.40457008199883,None,81.40457008199883,None,77,001,2020_May_28_2230,reactive_intentional_encoding,3.2.4,59.92263639932235,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,left,right,0,9,9,9,,,85.90440789399145,None,85.90440789399145,None,77,001,2020_May_28_2230,reactive_intentional_encoding,3.2.4,59.92263639932235,
