instructions1,Instructions2,Image1,Image2,Image3,Image_4,position_1x,position_1y,position_2x,position_2y,J_key,K_key,L_key,yes_text,no_text,trial_in_list,image_a,location1,correct_category_pair,location2,location3,correct_image,List,trial_num,block,Trial,ImageA,ImageB,ImageC,CategoryB,ListNum,instruction_intentional_encoding.thisRepN,instruction_intentional_encoding.thisTrialN,instruction_intentional_encoding.thisN,instruction_intentional_encoding.thisIndex,practice_trials_intentional_encoding.thisRepN,practice_trials_intentional_encoding.thisTrialN,practice_trials_intentional_encoding.thisN,practice_trials_intentional_encoding.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,text.started,text.stopped,instructions_text2.started,instructions_text2.stopped,response.keys,response.rt,response.started,response.stopped,image1.started,image1.stopped,image2.started,image2.stopped,J_press_instructions.started,J_press_instructions.stopped,F_key_instruct.started,F_key_instruct.stopped,arrow.started,arrow.stopped,yes_press.started,yes_press.stopped,no_press.started,no_press.stopped,imageA.started,imageA.stopped,b_image.started,b_image.stopped,text_9.started,text_9.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,image_pair1.started,image_pair1.stopped,image_pair2.started,image_pair2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,image_3.started,image_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
"Welcome to the memory game! In this game, you must learn which images go together.",Press space to continue!,None,None,None,None,0,0.3,0.0,-0.4, , , , , ,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,13.082181467994815,None,13.082181467994815,None,space,2.0551841460110154,13.082181467994815,None,13.082181467994815,None,13.082181467994815,None,13.031211116991471,None,13.031211116991471,None,13.031211116991471,None,13.031211116991471,None,13.031211116991471,None,,,,,,,,,,,,,,,,,,,,,,,,,8,001,,,2020_Sep_06_2008,reactive_intentional_encoding_looped,3.2.4,61.024401365991395,
"You will see two images on the left and right side of the screen, like this.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4, , , , , ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,15.330370196985314,None,15.330370196985314,None,space,2.3372159549908247,15.330370196985314,None,15.330370196985314,None,15.330370196985314,None,15.18031128498842,None,15.18031128498842,None,15.18031128498842,None,15.18031128498842,None,15.18031128498842,None,,,,,,,,,,,,,,,,,,,,,,,,,8,001,,,2020_Sep_06_2008,reactive_intentional_encoding_looped,3.2.4,61.024401365991395,
Your job is to remember that these images go together. ,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4, , , , , ,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,17.830594692000886,None,17.830594692000886,None,space,1.829918823990738,17.830594692000886,None,17.830594692000886,None,17.830594692000886,None,17.746417026995914,None,17.746417026995914,None,17.746417026995914,None,17.746417026995914,None,17.746417026995914,None,,,,,,,,,,,,,,,,,,,,,,,,,8,001,,,2020_Sep_06_2008,reactive_intentional_encoding_looped,3.2.4,61.024401365991395,
"You could link them through a story. For example, jessica alba likes books.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4, , , , , ,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,19.796033627004363,None,19.796033627004363,None,space,1.5214080590230878,19.796033627004363,None,19.796033627004363,None,19.796033627004363,None,19.7299958759977,None,19.7299958759977,None,19.7299958759977,None,19.7299958759977,None,19.7299958759977,None,,,,,,,,,,,,,,,,,,,,,,,,,8,001,,,2020_Sep_06_2008,reactive_intentional_encoding_looped,3.2.4,61.024401365991395,
"After you see the images, we will test your memory.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4, , , , , ,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,21.4402952749806,None,21.4402952749806,None,space,1.3160625039890874,21.4402952749806,None,21.4402952749806,None,21.4402952749806,None,21.37459784699604,None,21.37459784699604,None,21.37459784699604,None,21.37459784699604,None,21.37459784699604,None,,,,,,,,,,,,,,,,,,,,,,,,,8,001,,,2020_Sep_06_2008,reactive_intentional_encoding_looped,3.2.4,61.024401365991395,
"Get ready to see the images! Each pair will only last on the screen for a few seconds, so pay attention.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4, , , , , ,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,22.924281383980997,None,22.924281383980997,None,space,2.327996766020078,22.924281383980997,None,22.924281383980997,None,22.924281383980997,None,22.84371485898737,None,22.84371485898737,None,22.84371485898737,None,22.84371485898737,None,22.84371485898737,None,,,,,,,,,,,,,,,,,,,,,,,,,8,001,,,2020_Sep_06_2008,reactive_intentional_encoding_looped,3.2.4,61.024401365991395,
We'll first do a practice to get you familiar with the game.,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4, , , , , ,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,25.389696158003062,None,25.389696158003062,None,space,1.6670625940023456,25.389696158003062,None,25.389696158003062,None,25.389696158003062,None,25.322825626004487,None,25.322825626004487,None,25.322825626004487,None,25.322825626004487,None,25.322825626004487,None,,,,,,,,,,,,,,,,,,,,,,,,,8,001,,,2020_Sep_06_2008,reactive_intentional_encoding_looped,3.2.4,61.024401365991395,
"When you're ready to start the practice, press space!",Press space to continue!,None,None,None,None,0,0.0,None,None, , , , , ,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,27.162513322982704,None,27.162513322982704,None,space,1.6737852809892502,27.162513322982704,None,27.162513322982704,None,27.162513322982704,None,27.113894599984633,None,27.113894599984633,None,27.113894599984633,None,27.113894599984633,None,27.113894599984633,None,,,,,,,,,,,,,,,,,,,,,,,,,8,001,,,2020_Sep_06_2008,reactive_intentional_encoding_looped,3.2.4,61.024401365991395,
,,,,,,,,,,,,,,,1,images/giftbow01.png,images/willie_nelson_b.jpg,object-face,images/electricoutlet.png,images/chick.jpg,images/willie_nelson_b.jpg,0,0,practice,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.92279792399495,None,28.92279792399495,None,,,,,,,,,,,,,,,,,,,,,8,001,,,2020_Sep_06_2008,reactive_intentional_encoding_looped,3.2.4,61.024401365991395,
,,,,,,,,,,,,,,,2,images/globe.png,images/earrings_dangling.jpg,object-scene,images/wrigley_field_b.jpg,images/barrel.jpg,images/wrigley_field_b.jpg,0,0,practice,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.047691396001028,None,29.047691396001028,None,,,,,,,,,,,,,,,,,,,,,8,001,,,2020_Sep_06_2008,reactive_intentional_encoding_looped,3.2.4,61.024401365991395,
