trial,image_a,image_b,category_b,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,image_correct,image_alternative1,image_alternative2,Instruction_text.started,Instruction_text.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text.started,text.stopped,key_resp_instruction2_0.keys,key_resp_instruction2_0.rt,key_resp_instruction2_0.started,key_resp_instruction2_0.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,0,0,0,0,,,,,,,,,,,,7.053107492989511,None,9.306634745997144,None,9.306634745997144,None,,,,,,,,001,,,2020_May_29_1425,reactive_intentional_encoding,3.2.4,59.93589627936722,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,0,1,1,1,,,,,,,,,,,,,,10.733945774991298,None,10.733945774991298,None,,,,,,,,001,,,2020_May_29_1425,reactive_intentional_encoding,3.2.4,59.93589627936722,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,0,2,2,2,,,,,,,,,,,,,,12.255171167998924,None,12.255171167998924,None,,,,,,,,001,,,2020_May_29_1425,reactive_intentional_encoding,3.2.4,59.93589627936722,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,0,3,3,3,,,,,,,,,,,,,,13.751023199001793,None,13.751023199001793,None,,,,,,,,001,,,2020_May_29_1425,reactive_intentional_encoding,3.2.4,59.93589627936722,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,0,4,4,4,,,,,,,,,,,,,,15.267157277994556,None,15.267157277994556,None,,,,,,,,001,,,2020_May_29_1425,reactive_intentional_encoding,3.2.4,59.93589627936722,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,0,5,5,5,,,,,,,,,,,,,,16.751402367997798,None,16.751402367997798,None,,,,,,,,001,,,2020_May_29_1425,reactive_intentional_encoding,3.2.4,59.93589627936722,
7,images/barrel.jpg,images/emma_stone.jpg,face,0,6,6,6,,,,,,,,,,,,,,18.251933256993652,None,18.251933256993652,None,,,,,,,,001,,,2020_May_29_1425,reactive_intentional_encoding,3.2.4,59.93589627936722,
8,images/bathrobe.png,images/emma_watson.jpg,face,0,7,7,7,,,,,,,,,,,,,,19.8189341469988,None,19.8189341469988,None,,,,,,,,001,,,2020_May_29_1425,reactive_intentional_encoding,3.2.4,59.93589627936722,
9,images/beetle.png,images/george_clooney_a.jpg,face,0,8,8,8,,,,,,,,,,,,,,21.250480426999275,None,21.250480426999275,None,,,,,,,,001,,,2020_May_29_1425,reactive_intentional_encoding,3.2.4,59.93589627936722,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,0,9,9,9,,,,,,,,,,,,,,22.823662277995027,None,22.823662277995027,None,,,,,,,,001,,,2020_May_29_1425,reactive_intentional_encoding,3.2.4,59.93589627936722,
11,images/bib.png,images/hillary_clinton_a.jpg,face,0,10,10,10,,,,,,,,,,,,,,24.317587621000712,None,24.317587621000712,None,,,,,,,,001,,,2020_May_29_1425,reactive_intentional_encoding,3.2.4,59.93589627936722,
12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,0,11,11,11,,,,,,,,,,,,,,25.733647941000527,None,25.733647941000527,None,,,,,,,,001,,,2020_May_29_1425,reactive_intentional_encoding,3.2.4,59.93589627936722,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,26.200170733995037,None,space,1.9909577969956445,26.200170733995037,None,,001,,,2020_May_29_1425,reactive_intentional_encoding,3.2.4,59.93589627936722,
