trial,image_a,image_b,category_b,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,image_correct,image_alternative1,image_alternative2,Instruction_text.started,Instruction_text.stopped,text_3.started,text_3.stopped,Instructions_02.started,Instructions_02.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,instructions_03.started,instructions_03.stopped,image.started,image.stopped,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,text_6.started,text_6.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_7.started,text_7.stopped,image_5.started,image_5.stopped,image_6.started,image_6.stopped,text_8.started,text_8.stopped,text_9.started,text_9.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text_12.started,text_12.stopped,text.started,text.stopped,key_resp_instruction2_0.keys,key_resp_instruction2_0.rt,key_resp_instruction2_0.started,key_resp_instruction2_0.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,8.896804824995343,None,8.896804824995343,None,9.931019619994913,None,space,1.6330538250040263,9.931019619994913,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_May_29_1544,reactive_intentional_encoding,3.2.4,60.25467324687407,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.931019619994913,None,12.096752137993462,None,12.096752137993462,None,12.096752137993462,None,space,2.4408611599938013,13.598201164000784,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_May_29_1544,reactive_intentional_encoding,3.2.4,60.25467324687407,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.096752137993462,None,16.08124208499794,None,16.08124208499794,None,16.547730880003655,None,space,2.518514353010687,16.547730880003655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_May_29_1544,reactive_intentional_encoding,3.2.4,60.25467324687407,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.547730880003655,None,19.114059201994678,None,19.114059201994678,None,19.597622628993122,None,19.597622628993122,None,space,1.3503014580055606,19.597622628993122,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_May_29_1544,reactive_intentional_encoding,3.2.4,60.25467324687407,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.48026783899695,None,21.48026783899695,None,20.996546611000667,None,20.996546611000667,None,space,2.3596379540103953,21.48026783899695,None,,,,,,,,,,,,,,001,,,2020_May_29_1544,reactive_intentional_encoding,3.2.4,60.25467324687407,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.897065565994126,None,25.897065565994126,None,24.380680906004272,25.380400566995377,,,,,,,,001,,,2020_May_29_1544,reactive_intentional_encoding,3.2.4,60.25467324687407,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.41378663800424,None,31.41378663800424,None,29.897620139003266,30.896901628992055,,,,,,,,001,,,2020_May_29_1544,reactive_intentional_encoding,3.2.4,60.25467324687407,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.89741252399108,None,36.89741252399108,None,35.38048068799253,36.38044645699847,,,,,,,,001,,,2020_May_29_1544,reactive_intentional_encoding,3.2.4,60.25467324687407,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.39659926199238,None,42.39659926199238,None,40.88010365999071,41.88072646499495,,,,,,,,001,,,2020_May_29_1544,reactive_intentional_encoding,3.2.4,60.25467324687407,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.91386927799613,None,47.91386927799613,None,46.39750757199363,47.39757601999736,,,,,,,,001,,,2020_May_29_1544,reactive_intentional_encoding,3.2.4,60.25467324687407,
