instructions1,Instructions2,Image1,Image2,Image3,position_1x,position_1y,position_2x,position_2y,trial,image_a,image_b,category_b,instruction_intentional_encoding.thisRepN,instruction_intentional_encoding.thisTrialN,instruction_intentional_encoding.thisN,instruction_intentional_encoding.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,image_correct,image_alternative1,image_alternative2,text.started,text.stopped,instructions_text2.started,instructions_text2.stopped,response.keys,response.rt,response.started,response.stopped,image1.started,image1.stopped,image2.started,image2.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text_12.started,text_12.stopped,text_5.started,text_5.stopped,text_8.started,text_8.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_5.started,image_5.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
Welcome to the memory experiment!,Press space to continue!,None,None,None,0,0.2,0.0,-0.2,,,,,0,0,0,0,,,,,,,,,,,,,,,,6.365678230999038,None,6.365678230999038,None,space,1.3208196390041849,6.365678230999038,None,6.365678230999038,None,6.365678230999038,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
"On each trial of this task, you will see two pairs of images on the left and right hand side of the computer screen.",Press space to continue!,None,None,None,0,0.2,0.0,-0.2,,,,,0,1,1,1,,,,,,,,,,,,,,,,7.787416608000058,None,7.787416608000058,None,space,0.7917625159898307,7.787416608000058,None,7.787416608000058,None,7.787416608000058,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
"For example, on one trial, you might see two images similar to the ones below.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,0,0.3,0.0,-0.4,,,,,0,2,2,2,,,,,,,,,,,,,,,,8.748795895997318,None,8.748795895997318,None,space,0.2385921240056632,8.748795895997318,None,8.748795895997318,None,8.748795895997318,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
"Your job is to try to remember that these pairs of images go together. You can link the images in your memory in any way you wish. For example, you can rehearse them in your memory, or link them through a story.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,0,0.3,0.0,-0.4,,,,,0,3,3,3,,,,,,,,,,,,,,,,9.159930081004859,None,9.159930081004859,None,space,0.18147716100793332,9.159930081004859,None,9.159930081004859,None,9.159930081004859,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
"You could tell yourself that this woman, Jessica Alba, likes books. So this woman and books go together!",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,0,0.3,0.0,-0.4,,,,,0,4,4,4,,,,,,,,,,,,,,,,9.489207007005461,None,9.489207007005461,None,space,1.080959309998434,9.489207007005461,None,9.489207007005461,None,9.489207007005461,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
"It's important that you remember that these  images go together because your memory will later be tested. Specifically, later, you will be shown one image, and asked to recall its pair.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,0,0.3,0.0,-0.4,,,,,0,5,5,5,,,,,,,,,,,,,,,,10.742051384004299,None,10.742051384004299,None,space,0.089327316993149,10.742051384004299,None,10.742051384004299,None,10.742051384004299,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
"Get ready to see a series of image pairs! Each pair of images will only last on the screen for a few sceonds, so you will need to pay attention!",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,0,0.3,0.0,-0.4,,,,,0,6,6,6,,,,,,,,,,,,,,,,10.96001490400522,None,10.96001490400522,None,space,0.09738601501157973,10.96001490400522,None,10.96001490400522,None,10.96001490400522,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
"When you're ready to start the game, press space!",None,None,None,None,0,0.0,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,11.165141257995856,None,11.165141257995856,None,space,0.0769430030049989,11.165141257995856,None,11.165141257995856,None,11.165141257995856,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,11.33994760600035,None,11.33994760600035,None,11.33994760600035,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,2,images/bag_gift.png,images/bill_gates_a.jpg,face,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,11.44913385900145,None,11.44913385900145,None,11.44913385900145,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,3,images/ball_8.png,images/courtney_cox_c.jpg,face,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,11.541178041996318,None,11.541178041996318,None,11.541178041996318,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,11.63189758300723,None,11.63189758300723,None,11.63189758300723,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,11.708557763005956,None,11.708557763005956,None,11.708557763005956,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,11.816165398005978,None,11.816165398005978,None,11.816165398005978,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,7,images/barrel.jpg,images/emma_stone.jpg,face,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,11.933893171008094,None,11.933893171008094,None,11.933893171008094,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,8,images/bathrobe.png,images/emma_watson.jpg,face,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,12.032283883003402,None,12.032283883003402,None,12.032283883003402,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,9,images/beetle.png,images/george_clooney_a.jpg,face,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,12.109700614004396,None,12.109700614004396,None,12.109700614004396,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,10,images/bench_park.png,images/gwen_stefani_c.jpg,face,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,12.215427663002629,None,12.215427663002629,None,12.215427663002629,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,11,images/bib.png,images/hillary_clinton_a.jpg,face,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,12.332554337001056,None,12.332554337001056,None,12.332554337001056,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,12.421522257005563,None,12.421522257005563,None,12.421522257005563,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,,1,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,12.526525879002293,None,12.526525879002293,None,12.526525879002293,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,2,images/bag_gift.png,images/bill_gates_a.jpg,face,,,,,1,1,13,1,,,,,,,,,,,,,,,,,,,,,,,,12.614871829995536,None,12.614871829995536,None,12.614871829995536,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,3,images/ball_8.png,images/courtney_cox_c.jpg,face,,,,,1,2,14,2,,,,,,,,,,,,,,,,,,,,,,,,12.731943924998632,None,12.731943924998632,None,12.731943924998632,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,,,,,1,3,15,3,,,,,,,,,,,,,,,,,,,,,,,,12.820020605999161,None,12.820020605999161,None,12.820020605999161,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,,,,,1,4,16,4,,,,,,,,,,,,,,,,,,,,,,,,12.918992902006721,None,12.918992902006721,None,12.918992902006721,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,,,,,1,5,17,5,,,,,,,,,,,,,,,,,,,,,,,,13.02517276800063,None,13.02517276800063,None,13.02517276800063,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,7,images/barrel.jpg,images/emma_stone.jpg,face,,,,,1,6,18,6,,,,,,,,,,,,,,,,,,,,,,,,13.14383397300844,None,13.14383397300844,None,13.14383397300844,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,8,images/bathrobe.png,images/emma_watson.jpg,face,,,,,1,7,19,7,,,,,,,,,,,,,,,,,,,,,,,,13.23352751400671,None,13.23352751400671,None,13.23352751400671,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,9,images/beetle.png,images/george_clooney_a.jpg,face,,,,,1,8,20,8,,,,,,,,,,,,,,,,,,,,,,,,13.308830474998103,None,13.308830474998103,None,13.308830474998103,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,10,images/bench_park.png,images/gwen_stefani_c.jpg,face,,,,,1,9,21,9,,,,,,,,,,,,,,,,,,,,,,,,13.414469145995099,None,13.414469145995099,None,13.414469145995099,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,11,images/bib.png,images/hillary_clinton_a.jpg,face,,,,,1,10,22,10,,,,,,,,,,,,,,,,,,,,,,,,13.538909622002393,None,13.538909622002393,None,13.538909622002393,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
,,,,,,,,,12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,,,,,1,11,23,11,,,,,,,,,,,,,,,,,,,,,,,,13.626061091999873,None,13.626061091999873,None,13.626061091999873,None,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
"Great job! Your memory for each image pair will now be tested. You will first see one image on the computer screen, like below. You will be asked to bring to mind the associated image pair.",Press space to continue!,instruction_images/jessica_alba.jpg,None,None,0,0.3,0.0,-0.4,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13.79904114799865,None,13.79904114799865,None,space,8.747958777996246,14.04772186500486,None,13.79904114799865,None,13.79904114799865,None,13.79904114799865,None,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
"Immediately after, you will be asked to select which image was associated with the one on the screen.",Press space to continue!,instruction_images/jessica_alba.jpg,None,None,0,0.3,0.0,-0.4,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,22.91885801400349,None,22.91885801400349,None,space,0.2896990990120685,23.214349433997995,None,22.91885801400349,None,22.91885801400349,None,22.91885801400349,None,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
"Specifically, you will see three other images, like below. Your job is to select the image that was associated with the image that you just saw. For example, in this case, you would choose the book, because it was associated with Jessica Alba.",Press space to continue!,instruction_images/oldBook.png,instruction_images/oldBook.png,instruction_images/oldBook.png,0,0.3,0.0,-0.4,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,23.630513078009244,None,23.630513078009244,None,space,17.61447380699974,23.87196235600277,None,23.630513078009244,None,23.630513078009244,None,23.630513078009244,None,,001,,,2020_Jun_02_2204,reactive_intentional_encoding_looped,3.2.4,59.97404431540542,
