instructions1,Instructions2,Image1,Image2,Image3,Image_4,position_1x,position_1y,position_2x,position_2y,trial,image_a,image_b,category_b,instruction_intentional_encoding.thisRepN,instruction_intentional_encoding.thisTrialN,instruction_intentional_encoding.thisN,instruction_intentional_encoding.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,instructions_text2.started,instructions_text2.stopped,response.keys,response.rt,response.started,response.stopped,image1.started,image1.stopped,image2.started,image2.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text_12.started,text_12.stopped,text_5.started,text_5.stopped,text_8.started,text_8.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_5.started,image_5.stopped,image_6.started,image_6.stopped,J.started,J.stopped,K.started,K.stopped,L.started,L.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
Welcome to the memory experiment!,Press space to continue!,None,None,None,None,0.0,0.3,0.0,-0.4,,,,,0,0,0,0,,,,,,,,,6.681189245005953,None,6.681189245005953,None,space,0.9942776919924654,6.681189245005953,None,6.681189245005953,None,6.681189245005953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2240,reactive_intentional_encoding_looped,3.2.4,59.99641557102092,
"On each trial of this task, you will see two images on the left and right side of the computer screen, like below.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0.0,0.3,0.0,-0.4,,,,,0,1,1,1,,,,,,,,,7.8670536580029875,None,7.8670536580029875,None,space,6.160756530996878,7.8670536580029875,None,7.8670536580029875,None,7.8670536580029875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2240,reactive_intentional_encoding_looped,3.2.4,59.99641557102092,
Your job is to memorize that the image pairs go together. You can use any strategy to remember them.,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0.0,0.3,0.0,-0.4,,,,,0,2,2,2,,,,,,,,,14.147913568012882,None,14.147913568012882,None,space,3.8275175799935823,14.147913568012882,None,14.147913568012882,None,14.147913568012882,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2240,reactive_intentional_encoding_looped,3.2.4,59.99641557102092,
"For example, you could rehearse them in your memory, or link them through a story.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0.0,0.3,0.0,-0.4,,,,,0,3,3,3,,,,,,,,,18.113822155006346,None,18.113822155006346,None,space,2.807645658002002,18.113822155006346,None,18.113822155006346,None,18.113822155006346,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2240,reactive_intentional_encoding_looped,3.2.4,59.99641557102092,
It's important that you remember that these images go together. Your memory will later be tested. ,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0.0,0.3,0.0,-0.4,,,,,0,4,4,4,,,,,,,,,21.04871397500392,None,21.04871397500392,None,space,3.7265233150101267,21.04871397500392,None,21.04871397500392,None,21.04871397500392,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2240,reactive_intentional_encoding_looped,3.2.4,59.99641557102092,
Get ready to see a series of image pairs! ,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0.0,0.3,0.0,-0.4,,,,,0,5,5,5,,,,,,,,,24.91356460400857,None,24.91356460400857,None,space,2.278443609000533,24.91356460400857,None,24.91356460400857,None,24.91356460400857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2240,reactive_intentional_encoding_looped,3.2.4,59.99641557102092,
"Each pair of images will only last on the screen for a few sceonds, so pay attention!",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0.0,0.3,0.0,-0.4,,,,,0,6,6,6,,,,,,,,,27.330326327006333,None,27.330326327006333,None,space,3.3267339609883493,27.330326327006333,None,27.330326327006333,None,27.330326327006333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2240,reactive_intentional_encoding_looped,3.2.4,59.99641557102092,
"When you're ready to start the game, press space!",None,None,None,None,None,0.0,0.0,None,None,,,,,0,7,7,7,,,,,,,,,30.76382704199932,None,30.76382704199932,None,space,1.2769936469994718,30.76382704199932,None,30.76382704199932,None,30.76382704199932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2240,reactive_intentional_encoding_looped,3.2.4,59.99641557102092,
Great job! Your memory for each image pair will now be tested. ,Press space to continue!,None,None,None,None,0.0,0.3,0.0,-0.4,,,,,0,8,8,8,,,,,,,,,32.12919647200033,None,32.12919647200033,None,space,3.0173417510086438,32.12919647200033,None,32.12919647200033,None,32.12919647200033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2240,reactive_intentional_encoding_looped,3.2.4,59.99641557102092,
,,,,,,,,,,1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,,0,0,0,0,,,,,,,,,,,,,,,,,35.22977837501094,None,35.22977837501094,None,35.22977837501094,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2240,reactive_intentional_encoding_looped,3.2.4,59.99641557102092,
