instructions1,Instructions2,Image1,Image2,Image3,Image_4,position_1x,position_1y,position_2x,position_2y,J_key,K_key,L_key,trial,image_a,image_b,category_b,instruction_intentional_encoding.thisRepN,instruction_intentional_encoding.thisTrialN,instruction_intentional_encoding.thisN,instruction_intentional_encoding.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,instructions_text2.started,instructions_text2.stopped,response.keys,response.rt,response.started,response.stopped,image1.started,image1.stopped,image2.started,image2.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text_12.started,text_12.stopped,text_5.started,text_5.stopped,text_8.started,text_8.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_5.started,image_5.stopped,image_6.started,image_6.stopped,J.started,J.stopped,K.started,K.stopped,L.started,L.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
Welcome to the memory experiment!,Press space to continue!,None,None,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,0,0,0,,,,,,,,,7.487494676010101,None,7.487494676010101,None,space,0.7031734999909531,7.487494676010101,None,7.487494676010101,None,7.487494676010101,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2251,reactive_intentional_encoding_looped,3.2.4,59.6999688517645,
"On each trial of this task, you will see two images on the left and right side of the computer screen, like below.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,1,1,1,,,,,,,,,8.435740649001673,None,8.435740649001673,None,space,0.7646423879923532,8.435740649001673,None,8.435740649001673,None,8.435740649001673,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2251,reactive_intentional_encoding_looped,3.2.4,59.6999688517645,
Your job is to memorize that the image pairs go together. You can use any strategy to remember them.,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,2,2,2,,,,,,,,,9.339012206008192,None,9.339012206008192,None,space,0.33249564899597317,9.339012206008192,None,9.339012206008192,None,9.339012206008192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2251,reactive_intentional_encoding_looped,3.2.4,59.6999688517645,
"For example, you could rehearse them in your memory, or link them through a story.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,3,3,3,,,,,,,,,9.801497143998859,None,9.801497143998859,None,space,0.16887425701133907,9.801497143998859,None,9.801497143998859,None,9.801497143998859,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2251,reactive_intentional_encoding_looped,3.2.4,59.6999688517645,
It's important that you remember that these images go together. Your memory will later be tested. ,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,4,4,4,,,,,,,,,10.159908378002001,None,10.159908378002001,None,space,0.06453015899751335,10.159908378002001,None,10.159908378002001,None,10.159908378002001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2251,reactive_intentional_encoding_looped,3.2.4,59.6999688517645,
Get ready to see a series of image pairs! ,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,5,5,5,,,,,,,,,10.35188546300924,None,10.35188546300924,None,space,0.05676833000325132,10.35188546300924,None,10.35188546300924,None,10.35188546300924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2251,reactive_intentional_encoding_looped,3.2.4,59.6999688517645,
"Each pair of images will only last on the screen for a few sceonds, so pay attention!",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,6,6,6,,,,,,,,,10.535396454011789,None,10.535396454011789,None,space,0.0652282609953545,10.535396454011789,None,10.535396454011789,None,10.535396454011789,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2251,reactive_intentional_encoding_looped,3.2.4,59.6999688517645,
"When you're ready to start the game, press space!",None,None,None,None,None,0,0.0,None,None,None,None,None,,,,,0,7,7,7,,,,,,,,,10.70158524600265,None,10.70158524600265,None,space,0.5029690280061914,10.70158524600265,None,10.70158524600265,None,10.70158524600265,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2251,reactive_intentional_encoding_looped,3.2.4,59.6999688517645,
,,,,,,,,,,,,,1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,,0,0,0,0,,,,,,,,,,,,,,,,,11.302175926000928,None,11.302175926000928,None,11.302175926000928,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2251,reactive_intentional_encoding_looped,3.2.4,59.6999688517645,
,,,,,,,,,,,,,2,images/bag_gift.png,images/bill_gates_a.jpg,face,,,,,0,1,1,1,,,,,,,,,,,,,,,,,11.442761062004138,None,11.442761062004138,None,11.442761062004138,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2251,reactive_intentional_encoding_looped,3.2.4,59.6999688517645,
