instructions1,Instructions2,Image1,Image2,Image3,Image_4,position_1x,position_1y,position_2x,position_2y,J_key,K_key,L_key,trial,image_a,image_b,category_b,instruction_intentional_encoding.thisRepN,instruction_intentional_encoding.thisTrialN,instruction_intentional_encoding.thisN,instruction_intentional_encoding.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,image_correct,image_alternative1,image_alternative2,text.started,text.stopped,instructions_text2.started,instructions_text2.stopped,response.keys,response.rt,response.started,response.stopped,image1.started,image1.stopped,image2.started,image2.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text_12.started,text_12.stopped,text_5.started,text_5.stopped,text_8.started,text_8.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_5.started,image_5.stopped,image_6.started,image_6.stopped,J.started,J.stopped,K.started,K.stopped,L.started,L.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
Welcome to the memory experiment!,Press space to continue!,None,None,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,0,0,0,,,,,,,,,,,,,,,,7.555560477005201,None,7.555560477005201,None,space,0.6842643660056638,7.555560477005201,None,7.555560477005201,None,7.555560477005201,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2253,reactive_intentional_encoding_looped,3.2.4,59.987748702722996,
"On each trial of this task, you will see two images on the left and right side of the computer screen, like below.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,8.536368497996591,None,8.536368497996591,None,space,3.8175392509874655,8.536368497996591,None,8.536368497996591,None,8.536368497996591,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2253,reactive_intentional_encoding_looped,3.2.4,59.987748702722996,
Your job is to memorize that the image pairs go together. You can use any strategy to remember them.,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,2,2,2,,,,,,,,,,,,,,,,12.519334797994816,None,12.519334797994816,None,space,0.3835076770046726,12.519334797994816,None,12.519334797994816,None,12.519334797994816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2253,reactive_intentional_encoding_looped,3.2.4,59.987748702722996,
"For example, you could rehearse them in your memory, or link them through a story.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,3,3,3,,,,,,,,,,,,,,,,13.038703869999154,None,13.038703869999154,None,space,0.29908063101174776,13.038703869999154,None,13.038703869999154,None,13.038703869999154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2253,reactive_intentional_encoding_looped,3.2.4,59.987748702722996,
It's important that you remember that these images go together. Your memory will later be tested. ,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,4,4,4,,,,,,,,,,,,,,,,13.485893571007182,None,13.485893571007182,None,space,0.2581468110001879,13.485893571007182,None,13.485893571007182,None,13.485893571007182,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2253,reactive_intentional_encoding_looped,3.2.4,59.987748702722996,
Get ready to see a series of image pairs! ,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,5,5,5,,,,,,,,,,,,,,,,13.869168342993362,None,13.869168342993362,None,space,0.847607881994918,13.869168342993362,None,13.869168342993362,None,13.869168342993362,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2253,reactive_intentional_encoding_looped,3.2.4,59.987748702722996,
"Each pair of images will only last on the screen for a few sceonds, so pay attention!",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,14.869869158996153,None,14.869869158996153,None,space,0.771830747005879,14.869869158996153,None,14.869869158996153,None,14.869869158996153,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2253,reactive_intentional_encoding_looped,3.2.4,59.987748702722996,
"When you're ready to start the game, press space!",None,None,None,None,None,0,0.0,None,None,None,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,15.768486588000087,None,15.768486588000087,None,space,0.6813293500017608,15.768486588000087,None,15.768486588000087,None,15.768486588000087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2253,reactive_intentional_encoding_looped,3.2.4,59.987748702722996,
,,,,,,,,,,,,,1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,16.569174591000774,None,16.569174591000774,None,16.569174591000774,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2253,reactive_intentional_encoding_looped,3.2.4,59.987748702722996,
,,,,,,,,,,,,,2,images/bag_gift.png,images/bill_gates_a.jpg,face,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,16.685494215998915,None,16.685494215998915,None,16.685494215998915,None,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2253,reactive_intentional_encoding_looped,3.2.4,59.987748702722996,
