instructions1,Instructions2,Image1,Image2,Image3,Image_4,position_1x,position_1y,position_2x,position_2y,J_key,K_key,L_key,trial,image_a,image_b,category_b,instruction_intentional_encoding.thisRepN,instruction_intentional_encoding.thisTrialN,instruction_intentional_encoding.thisN,instruction_intentional_encoding.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,instructions_text2.started,instructions_text2.stopped,response.keys,response.rt,response.started,response.stopped,image1.started,image1.stopped,image2.started,image2.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text_12.started,text_12.stopped,text_5.started,text_5.stopped,text_8.started,text_8.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_5.started,image_5.stopped,image_6.started,image_6.stopped,K.started,K.stopped,L.started,L.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
Welcome to the memory experiment!,Press space to continue!,None,None,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,0,0,0,,,,,,,,,8.06768880400341,None,8.06768880400341,None,space,2.1237265200034017,8.06768880400341,None,8.06768880400341,None,8.06768880400341,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
"On each trial of this task, you will see two images on the left and right side of the computer screen, like below.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,1,1,1,,,,,,,,,10.581303496001055,None,10.581303496001055,None,space,0.21208150900201872,10.581303496001055,None,10.581303496001055,None,10.581303496001055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
Your job is to memorize that the image pairs go together. You can use any strategy to remember them.,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,2,2,2,,,,,,,,,10.971713414008263,None,10.971713414008263,None,space,0.07269075399381109,10.971713414008263,None,10.971713414008263,None,10.971713414008263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
"For example, you could rehearse them in your memory, or link them through a story.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,3,3,3,,,,,,,,,11.185800681007095,None,11.185800681007095,None,space,0.10197283700108528,11.185800681007095,None,11.185800681007095,None,11.185800681007095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
It's important that you remember that these images go together. Your memory will later be tested. ,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,4,4,4,,,,,,,,,11.404660655010957,None,11.404660655010957,None,space,0.09498520300257951,11.404660655010957,None,11.404660655010957,None,11.404660655010957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
Get ready to see a series of image pairs! ,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,5,5,5,,,,,,,,,11.609597290007514,None,11.609597290007514,None,space,0.08507703999930527,11.609597290007514,None,11.609597290007514,None,11.609597290007514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
"Each pair of images will only last on the screen for a few sceonds, so pay attention!",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,6,6,6,,,,,,,,,11.831350551001378,None,11.831350551001378,None,space,0.05817328000557609,11.831350551001378,None,11.831350551001378,None,11.831350551001378,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
"When you're ready to start the game, press space!",None,None,None,None,None,0,0.0,None,None,None,None,None,,,,,0,7,7,7,,,,,,,,,11.997766583008342,None,11.997766583008342,None,space,0.2075769049988594,11.997766583008342,None,11.997766583008342,None,11.997766583008342,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,,0,0,0,0,,,,,,,,,,,,,,,,,12.296944979010732,None,12.296944979010732,None,12.296944979010732,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,2,images/bag_gift.png,images/bill_gates_a.jpg,face,,,,,0,1,1,1,,,,,,,,,,,,,,,,,12.422165620999294,None,12.422165620999294,None,12.422165620999294,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,3,images/ball_8.png,images/courtney_cox_c.jpg,face,,,,,0,2,2,2,,,,,,,,,,,,,,,,,12.488940574010485,None,12.488940574010485,None,12.488940574010485,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,,,,,0,3,3,3,,,,,,,,,,,,,,,,,12.669604939001147,None,12.669604939001147,None,12.669604939001147,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,,,,,0,4,4,4,,,,,,,,,,,,,,,,,12.731261458000517,None,12.731261458000517,None,12.731261458000517,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,,,,,0,5,5,5,,,,,,,,,,,,,,,,,12.831228687005932,None,12.831228687005932,None,12.831228687005932,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,7,images/barrel.jpg,images/emma_stone.jpg,face,,,,,0,6,6,6,,,,,,,,,,,,,,,,,12.947225666008308,None,12.947225666008308,None,12.947225666008308,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,8,images/bathrobe.png,images/emma_watson.jpg,face,,,,,0,7,7,7,,,,,,,,,,,,,,,,,13.036313276010333,None,13.036313276010333,None,13.036313276010333,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,9,images/beetle.png,images/george_clooney_a.jpg,face,,,,,0,8,8,8,,,,,,,,,,,,,,,,,13.097546253004111,None,13.097546253004111,None,13.097546253004111,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,10,images/bench_park.png,images/gwen_stefani_c.jpg,face,,,,,0,9,9,9,,,,,,,,,,,,,,,,,13.205832912004553,None,13.205832912004553,None,13.205832912004553,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,11,images/bib.png,images/hillary_clinton_a.jpg,face,,,,,0,10,10,10,,,,,,,,,,,,,,,,,13.3309498430026,None,13.3309498430026,None,13.3309498430026,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,,,,,0,11,11,11,,,,,,,,,,,,,,,,,13.416633668006398,None,13.416633668006398,None,13.416633668006398,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,,1,0,12,0,,,,,,,,,,,,,,,,,13.480681936998735,None,13.480681936998735,None,13.480681936998735,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,2,images/bag_gift.png,images/bill_gates_a.jpg,face,,,,,1,1,13,1,,,,,,,,,,,,,,,,,13.604986060003284,None,13.604986060003284,None,13.604986060003284,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,3,images/ball_8.png,images/courtney_cox_c.jpg,face,,,,,1,2,14,2,,,,,,,,,,,,,,,,,13.692177133008954,None,13.692177133008954,None,13.692177133008954,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,,,,,1,3,15,3,,,,,,,,,,,,,,,,,13.771754858011263,None,13.771754858011263,None,13.771754858011263,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,,,,,1,4,16,4,,,,,,,,,,,,,,,,,13.869425488999696,13.834778060001554,13.869425488999696,13.834778060001554,13.869425488999696,13.834778060001554,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,,,,,1,5,17,5,,,,,,,,,,,,,,,,,13.973127980003483,13.932388370012632,13.973127980003483,13.932388370012632,13.973127980003483,13.932388370012632,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,7,images/barrel.jpg,images/emma_stone.jpg,face,,,,,1,6,18,6,,,,,,,,,,,,,,,,,14.09303313800774,None,14.09303313800774,None,14.09303313800774,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,8,images/bathrobe.png,images/emma_watson.jpg,face,,,,,1,7,19,7,,,,,,,,,,,,,,,,,14.186438484000973,None,14.186438484000973,None,14.186438484000973,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,9,images/beetle.png,images/george_clooney_a.jpg,face,,,,,1,8,20,8,,,,,,,,,,,,,,,,,14.285934340005042,None,14.285934340005042,None,14.285934340005042,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,10,images/bench_park.png,images/gwen_stefani_c.jpg,face,,,,,1,9,21,9,,,,,,,,,,,,,,,,,14.393072286009556,None,14.393072286009556,None,14.393072286009556,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,11,images/bib.png,images/hillary_clinton_a.jpg,face,,,,,1,10,22,10,,,,,,,,,,,,,,,,,14.482303552998928,None,14.482303552998928,None,14.482303552998928,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
,,,,,,,,,,,,,12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,,,,,1,11,23,11,,,,,,,,,,,,,,,,,14.570221719011897,14.535778994002612,14.570221719011897,14.535778994002612,14.570221719011897,14.535778994002612,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
Great job! Your memory for each image pair will now be tested. ,Press space to continue!,None,None,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,14.714480261012795,None,14.714480261012795,None,space,10.387703995991615,14.987904115012498,None,14.714480261012795,None,14.714480261012795,None,14.714480261012795,None,14.714480261012795,None,14.714480261012795,None,14.714480261012795,None,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
"You will first see one image on the computer screen, like below. You will be asked to bring to mind the associated image pair.",Press space to continue!,instruction_images/jessica_alba.jpg,None,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,25.508111827002722,None,25.508111827002722,None,space,0.13546400699124206,25.82516362699971,None,25.508111827002722,None,25.508111827002722,None,25.508111827002722,None,25.508111827002722,None,25.508111827002722,None,25.508111827002722,None,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
"In this situation, you would try to remember the book.",Press space to continue!,instruction_images/jessica_alba.jpg,None,None,None,0,0.3,0.0,-0.4,J,K,L,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,26.097367073001806,None,26.097367073001806,None,space,5.232510297006229,26.347219554008916,None,26.097367073001806,None,26.097367073001806,None,26.097367073001806,None,26.097367073001806,None,26.097367073001806,None,26.097367073001806,None,,001,,,2020_Jun_02_2302,reactive_intentional_encoding_looped,3.2.4,59.88853139384333,
