instructions1,Instructions2,Image1,Image2,Image3,Image_4,position_1x,position_1y,position_2x,position_2y,J_key,K_key,L_key,trial,image_a,image_b,category_b,instruction_intentional_encoding.thisRepN,instruction_intentional_encoding.thisTrialN,instruction_intentional_encoding.thisN,instruction_intentional_encoding.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,text.started,text.stopped,instructions_text2.started,instructions_text2.stopped,response.keys,response.rt,response.started,response.stopped,image1.started,image1.stopped,image2.started,image2.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text_12.started,text_12.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
Welcome to the memory experiment!,Press space to continue!,None,None,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,0,0,0,,,,,,,,,10.967025459001889,None,10.967025459001889,None,space,0.9870006819983246,10.967025459001889,None,10.967025459001889,None,10.967025459001889,None,,,,,,,,001,,,2020_Jun_02_2319,reactive_intentional_encoding_looped,3.2.4,59.81749562789381,
"On each trial of this task, you will see two images on the left and right side of the computer screen, like below.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,1,1,1,,,,,,,,,12.152264100004686,None,12.152264100004686,None,space,2.2612595669925213,12.152264100004686,None,12.152264100004686,None,12.152264100004686,None,,,,,,,,001,,,2020_Jun_02_2319,reactive_intentional_encoding_looped,3.2.4,59.81749562789381,
Your job is to memorize that the image pairs go together. You can use any strategy to remember them.,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,2,2,2,,,,,,,,,14.550490943001932,None,14.550490943001932,None,space,2.9028810360032367,14.550490943001932,None,14.550490943001932,None,14.550490943001932,None,,,,,,,,001,,,2020_Jun_02_2319,reactive_intentional_encoding_looped,3.2.4,59.81749562789381,
"For example, you could rehearse them in your memory, or link them through a story.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,3,3,3,,,,,,,,,17.58380489901174,None,17.58380489901174,None,space,1.2906488400039962,17.58380489901174,None,17.58380489901174,None,17.58380489901174,None,,,,,,,,001,,,2020_Jun_02_2319,reactive_intentional_encoding_looped,3.2.4,59.81749562789381,
It's important that you remember that these images go together. Your memory will later be tested. ,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,4,4,4,,,,,,,,,18.983530457000597,None,18.983530457000597,None,space,0.2878645309974672,18.983530457000597,None,18.983530457000597,None,18.983530457000597,None,,,,,,,,001,,,2020_Jun_02_2319,reactive_intentional_encoding_looped,3.2.4,59.81749562789381,
Get ready to see a series of image pairs! ,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,5,5,5,,,,,,,,,19.400227107005776,None,19.400227107005776,None,space,0.3000071139977081,19.400227107005776,None,19.400227107005776,None,19.400227107005776,None,,,,,,,,001,,,2020_Jun_02_2319,reactive_intentional_encoding_looped,3.2.4,59.81749562789381,
"Each pair of images will only last on the screen for a few sceonds, so pay attention!",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,6,6,6,,,,,,,,,19.850449086006847,None,19.850449086006847,None,space,0.3807385840045754,19.850449086006847,None,19.850449086006847,None,19.850449086006847,None,,,,,,,,001,,,2020_Jun_02_2319,reactive_intentional_encoding_looped,3.2.4,59.81749562789381,
"When you're ready to start the game, press space!",None,None,None,None,None,0,0.0,None,None,None,None,None,,,,,0,7,7,7,,,,,,,,,20.350536076002754,None,20.350536076002754,None,space,0.62880365899764,20.350536076002754,None,20.350536076002754,None,20.350536076002754,None,,,,,,,,001,,,2020_Jun_02_2319,reactive_intentional_encoding_looped,3.2.4,59.81749562789381,
,,,,,,,,,,,,,1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,,0,0,0,0,,,,,,,,,,,,,,,,,21.08339924601023,None,21.08339924601023,None,21.08339924601023,None,,001,,,2020_Jun_02_2319,reactive_intentional_encoding_looped,3.2.4,59.81749562789381,
,,,,,,,,,,,,,2,images/bag_gift.png,images/bill_gates_a.jpg,face,,,,,0,1,1,1,,,,,,,,,,,,,,,,,21.20048556099937,None,21.20048556099937,None,21.20048556099937,None,,001,,,2020_Jun_02_2319,reactive_intentional_encoding_looped,3.2.4,59.81749562789381,
