instructions1,Instructions2,Image1,Image2,Image3,Image_4,position_1x,position_1y,position_2x,position_2y,J_key,K_key,L_key,trial,image_a,image_b,category_b,instruction_intentional_encoding.thisRepN,instruction_intentional_encoding.thisTrialN,instruction_intentional_encoding.thisN,instruction_intentional_encoding.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,instructions_text2.started,instructions_text2.stopped,response.keys,response.rt,response.started,response.stopped,image1.started,image1.stopped,image2.started,image2.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text_12.started,text_12.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,image_3.started,image_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_5.started,text_5.stopped,text_8.started,text_8.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_5.started,image_5.stopped,image_6.started,image_6.stopped,K.started,K.stopped,L.started,L.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
Welcome to the memory experiment!,Press space to continue!,None,None,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,0,0,0,,,,,,,,,,,,,6.967358859998058,None,6.967358859998058,None,space,0.6769336360011948,6.967358859998058,None,6.967358859998058,None,6.967358859998058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
"On each trial of this task, you will see two images on the left and right side of the computer screen, like below.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,1,1,1,,,,,,,,,,,,,7.843778573995223,None,7.843778573995223,None,space,0.34439769000164233,7.843778573995223,None,7.843778573995223,None,7.843778573995223,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
Your job is to memorize that the image pairs go together. You can use any strategy to remember them.,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,2,2,2,,,,,,,,,,,,,8.332183841994265,None,8.332183841994265,None,space,0.22649498999817297,8.332183841994265,None,8.332183841994265,None,8.332183841994265,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
"For example, you could rehearse them in your memory, or link them through a story.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,3,3,3,,,,,,,,,,,,,8.71062859200174,None,8.71062859200174,None,space,0.16152163699734956,8.71062859200174,None,8.71062859200174,None,8.71062859200174,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
It's important that you remember that these images go together. Your memory will later be tested. ,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,4,4,4,,,,,,,,,,,,,9.015530275006313,None,9.015530275006313,None,space,0.16558336300658993,9.015530275006313,None,9.015530275006313,None,9.015530275006313,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
Get ready to see a series of image pairs! ,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,5,5,5,,,,,,,,,,,,,9.326512141007697,None,9.326512141007697,None,space,0.2958473679900635,9.326512141007697,None,9.326512141007697,None,9.326512141007697,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
"Each pair of images will only last on the screen for a few sceonds, so pay attention!",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,6,6,6,,,,,,,,,,,,,9.77717332499742,None,9.77717332499742,None,space,0.6378751810116228,9.77717332499742,None,9.77717332499742,None,9.77717332499742,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
"When you're ready to start the game, press space!",None,None,None,None,None,0,0.0,None,None,None,None,None,,,,,0,7,7,7,,,,,,,,,,,,,10.547800959000597,None,10.547800959000597,None,space,0.32521266999538057,10.547800959000597,None,10.547800959000597,None,10.547800959000597,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,10.96042841799499,None,10.96042841799499,None,10.96042841799499,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,2,images/bag_gift.png,images/bill_gates_a.jpg,face,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,11.06219423400762,None,11.06219423400762,None,11.06219423400762,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,3,images/ball_8.png,images/courtney_cox_c.jpg,face,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,11.16014504400664,None,11.16014504400664,None,11.16014504400664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,11.252363075996982,None,11.252363075996982,None,11.252363075996982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,11.367511792006553,None,11.367511792006553,None,11.367511792006553,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,11.460557223006617,None,11.460557223006617,None,11.460557223006617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,7,images/barrel.jpg,images/emma_stone.jpg,face,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,11.560700674002874,None,11.560700674002874,None,11.560700674002874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,8,images/bathrobe.png,images/emma_watson.jpg,face,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,11.651390298997285,None,11.651390298997285,None,11.651390298997285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,9,images/beetle.png,images/george_clooney_a.jpg,face,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,11.766732236006646,None,11.766732236006646,None,11.766732236006646,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,10,images/bench_park.png,images/gwen_stefani_c.jpg,face,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,11.860217148001539,None,11.860217148001539,None,11.860217148001539,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,11,images/bib.png,images/hillary_clinton_a.jpg,face,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,11.960999401999288,None,11.960999401999288,None,11.960999401999288,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,12.060788795002736,None,12.060788795002736,None,12.060788795002736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,,1,0,12,0,,,,,,,,,,,,,,,,,,,,,12.144411686007516,None,12.144411686007516,None,12.144411686007516,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,2,images/bag_gift.png,images/bill_gates_a.jpg,face,,,,,1,1,13,1,,,,,,,,,,,,,,,,,,,,,12.2438445900043,12.201412619004259,12.2438445900043,12.201412619004259,12.2438445900043,12.201412619004259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,3,images/ball_8.png,images/courtney_cox_c.jpg,face,,,,,1,2,14,2,,,,,,,,,,,,,,,,,,,,,12.376417799998308,None,12.376417799998308,None,12.376417799998308,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,,,,,1,3,15,3,,,,,,,,,,,,,,,,,,,,,12.468438512994908,None,12.468438512994908,None,12.468438512994908,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,,,,,1,4,16,4,,,,,,,,,,,,,,,,,,,,,12.550790389999747,None,12.550790389999747,None,12.550790389999747,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,,,,,1,5,17,5,,,,,,,,,,,,,,,,,,,,,12.676982611999847,None,12.676982611999847,None,12.676982611999847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,7,images/barrel.jpg,images/emma_stone.jpg,face,,,,,1,6,18,6,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,8,images/bathrobe.png,images/emma_watson.jpg,face,,,,,1,7,19,7,,,,,,,,,,,,,,,,,,,,,12.867945253994549,None,12.867945253994549,None,12.867945253994549,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,9,images/beetle.png,images/george_clooney_a.jpg,face,,,,,1,8,20,8,,,,,,,,,,,,,,,,,,,,,12.950079877002281,None,12.950079877002281,None,12.950079877002281,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,10,images/bench_park.png,images/gwen_stefani_c.jpg,face,,,,,1,9,21,9,,,,,,,,,,,,,,,,,,,,,13.059955973003525,None,13.059955973003525,None,13.059955973003525,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,11,images/bib.png,images/hillary_clinton_a.jpg,face,,,,,1,10,22,10,,,,,,,,,,,,,,,,,,,,,13.16278800899454,None,13.16278800899454,None,13.16278800899454,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
,,,,,,,,,,,,,12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,,,,,1,11,23,11,,,,,,,,,,,,,,,,,,,,,13.251174952005385,None,13.251174952005385,None,13.251174952005385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
Great job! Your memory for each image pair will now be tested. ,Press space to continue!,None,None,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,13.380406430005678,None,13.380406430005678,None,13.380406430005678,None,space,1.6678625499916961,13.409224974995595,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
"You will first see one image on the computer screen, like below. You will be asked to bring to mind the associated image pair.",Press space to continue!,instruction_images/jessica_alba.jpg,None,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,15.143431286007399,None,15.143431286007399,None,15.143431286007399,None,space,11.678030843002489,15.193695672001923,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
"In this situation, you would try to remember the book.",Press space to continue!,instruction_images/jessica_alba.jpg,None,None,None,0,0.3,0.0,-0.4,J,K,L,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,26.930685518003884,None,26.930685518003884,None,26.930685518003884,None,space,1.3510450059984578,26.96541109700047,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2323,reactive_intentional_encoding_looped,3.2.4,59.15631500036567,
