instructions1,Instructions2,Image1,Image2,Image3,Image_4,position_1x,position_1y,position_2x,position_2y,J_key,K_key,L_key,trial,image_a,image_b,category_b,instruction_intentional_encoding.thisRepN,instruction_intentional_encoding.thisTrialN,instruction_intentional_encoding.thisN,instruction_intentional_encoding.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,image_correct,image_alternative1,image_alternative2,text.started,text.stopped,instructions_text2.started,instructions_text2.stopped,response.keys,response.rt,response.started,response.stopped,image1.started,image1.stopped,image2.started,image2.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text_12.started,text_12.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,image_3.started,image_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_5.started,text_5.stopped,text_8.started,text_8.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_5.started,image_5.stopped,image_6.started,image_6.stopped,K.started,K.stopped,L.started,L.stopped,J.started,J.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
Welcome to the memory experiment!,Press space to continue!,None,None,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,12.790031298005488,None,12.790031298005488,None,space,1.5508741660014493,12.790031298005488,None,12.790031298005488,None,12.790031298005488,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2331,reactive_intentional_encoding_looped,3.2.4,60.06435005908213,
"On each trial of this task, you will see two images on the left and right side of the computer screen, like below.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,14.606477762004943,None,14.606477762004943,None,space,5.9426238010055386,14.606477762004943,None,14.606477762004943,None,14.606477762004943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2331,reactive_intentional_encoding_looped,3.2.4,60.06435005908213,
Your job is to memorize that these images  go together. You can use any strategy to remember this.,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,20.705048390009324,None,20.705048390009324,None,space,5.128877712995745,20.705048390009324,None,20.705048390009324,None,20.705048390009324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2331,reactive_intentional_encoding_looped,3.2.4,60.06435005908213,
"For example, you could rehearse them in your memory, or link them through a story.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,25.986694996012375,None,25.986694996012375,None,space,2.862528857003781,25.986694996012375,None,25.986694996012375,None,25.986694996012375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2331,reactive_intentional_encoding_looped,3.2.4,60.06435005908213,
It's important that you remember that these images go together. Your memory will later be tested. ,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,28.973042884012102,None,28.973042884012102,None,space,3.2366635049984325,28.973042884012102,None,28.973042884012102,None,28.973042884012102,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2331,reactive_intentional_encoding_looped,3.2.4,60.06435005908213,
"Each pair of images will only last on the screen for a few sceonds, so pay attention!",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,32.37003807700239,None,32.37003807700239,None,space,2.8008699199999683,32.37003807700239,None,32.37003807700239,None,32.37003807700239,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2331,reactive_intentional_encoding_looped,3.2.4,60.06435005908213,
Get ready to see a series of image pairs! ,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,35.297604796011,None,35.297604796011,None,space,1.2962386969884392,35.297604796011,None,35.297604796011,None,35.297604796011,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2331,reactive_intentional_encoding_looped,3.2.4,60.06435005908213,
"When you're ready to start the game, press space!",None,None,None,None,None,0,0.0,None,None,None,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,36.71438760300225,None,36.71438760300225,None,space,3.4781264570046915,36.71438760300225,None,36.71438760300225,None,36.71438760300225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2331,reactive_intentional_encoding_looped,3.2.4,60.06435005908213,
,,,,,,,,,,,,,1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.304696794002666,None,40.304696794002666,None,40.304696794002666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2331,reactive_intentional_encoding_looped,3.2.4,60.06435005908213,
,,,,,,,,,,,,,2,images/bag_gift.png,images/bill_gates_a.jpg,face,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.37436160100333,None,40.37436160100333,None,40.37436160100333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2331,reactive_intentional_encoding_looped,3.2.4,60.06435005908213,
,,,,,,,,,,,,,3,images/ball_8.png,images/courtney_cox_c.jpg,face,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.489491566011566,None,40.489491566011566,None,40.489491566011566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2331,reactive_intentional_encoding_looped,3.2.4,60.06435005908213,
