instructions1,Instructions2,Image1,Image2,Image3,Image_4,position_1x,position_1y,position_2x,position_2y,J_key,K_key,L_key,trial,image_a,image_b,category_b,image_correct,image_alternative1,image_alternative2,instruction_intentional_encoding.thisRepN,instruction_intentional_encoding.thisTrialN,instruction_intentional_encoding.thisN,instruction_intentional_encoding.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,instructions_text2.started,instructions_text2.stopped,response.keys,response.rt,response.started,response.stopped,image1.started,image1.stopped,image2.started,image2.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text_12.started,text_12.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,image_3.started,image_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_5.started,text_5.stopped,text_8.started,text_8.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_5.started,image_5.stopped,image_6.started,image_6.stopped,K.started,K.stopped,L.started,L.stopped,J.started,J.stopped,instruct_text.started,instruct_text.stopped,a_image_retrieve.started,a_image_retrieve.stopped,text_2.started,text_2.stopped,correct_pair.started,correct_pair.stopped,afc_text.started,afc_text.stopped,alternative_1.started,alternative_1.stopped,alternative_2.started,alternative_2.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
Welcome to the memory experiment!,Press space to continue!,None,None,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,7.834583903008024,None,7.834583903008024,None,space,1.2752393120026682,7.834583903008024,None,7.834583903008024,None,7.834583903008024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2336,reactive_intentional_encoding_looped,3.2.4,59.7577136651341,
"On each trial of this task, you will see two images on the left and right side of the computer screen, like this.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,9.398433326001395,None,9.398433326001395,None,space,5.356639721998363,9.398433326001395,None,9.398433326001395,None,9.398433326001395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2336,reactive_intentional_encoding_looped,3.2.4,59.7577136651341,
Your job is to memorize that these images  go together. You can use any strategy to remember this.,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,14.89947435000795,None,14.89947435000795,None,space,5.998137037997367,14.89947435000795,None,14.89947435000795,None,14.89947435000795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2336,reactive_intentional_encoding_looped,3.2.4,59.7577136651341,
"For example, you could rehearse them in your memory, or link them through a story.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,21.04797090300417,None,21.04797090300417,None,space,2.2689888079912635,21.04797090300417,None,21.04797090300417,None,21.04797090300417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2336,reactive_intentional_encoding_looped,3.2.4,59.7577136651341,
It's important that you remember that these images go together. Your memory will later be tested. ,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,23.451319719999447,None,23.451319719999447,None,space,2.978459070000099,23.451319719999447,None,23.451319719999447,None,23.451319719999447,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2336,reactive_intentional_encoding_looped,3.2.4,59.7577136651341,
"Each pair of images will only last on the screen for a few sceonds, so pay attention!",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,26.56477592900046,None,26.56477592900046,None,space,3.2988731899968116,26.56477592900046,None,26.56477592900046,None,26.56477592900046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2336,reactive_intentional_encoding_looped,3.2.4,59.7577136651341,
Get ready to see a series of image pairs! ,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,30.017150204002974,None,30.017150204002974,None,space,0.9024435210012598,30.017150204002974,None,30.017150204002974,None,30.017150204002974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2336,reactive_intentional_encoding_looped,3.2.4,59.7577136651341,
"When you're ready to start, press space!",None,None,None,None,None,0,0.0,None,None,None,None,None,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,31.047609343004297,None,31.047609343004297,None,space,0.7902140840014908,31.047609343004297,None,31.047609343004297,None,31.047609343004297,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2336,reactive_intentional_encoding_looped,3.2.4,59.7577136651341,
,,,,,,,,,,,,,1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2336,reactive_intentional_encoding_looped,3.2.4,59.7577136651341,
,,,,,,,,,,,,,2,images/bag_gift.png,images/bill_gates_a.jpg,face,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Jun_02_2336,reactive_intentional_encoding_looped,3.2.4,59.7577136651341,
