trial,image_a,image_b,category_b,image_correct,image_alternative1,image_alternative2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruction_text.started,Instruction_text.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text.started,text.stopped,key_resp_instruction2_0.keys,key_resp_instruction2_0.rt,key_resp_instruction2_0.started,key_resp_instruction2_0.stopped,instruct_text.started,instruct_text.stopped,a_image_retrieve.started,a_image_retrieve.stopped,text_2.started,text_2.stopped,image_alernate_1.started,image_alernate_1.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,0,0,0,0,,,,,,,,,6.511401750991354,None,8.516260474993032,None,8.516260474993032,None,,,,,,,,,,,,,,,c,001,,,2020_May_29_1409,reactive_intentional_encoding,3.2.4,60.06678610031084,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,,,,0,1,1,1,,,,,,,,,,,9.97922550799558,None,9.97922550799558,None,,,,,,,,,,,,,,,c,001,,,2020_May_29_1409,reactive_intentional_encoding,3.2.4,60.06678610031084,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,,,,0,2,2,2,,,,,,,,,,,11.479904635998537,None,11.479904635998537,None,,,,,,,,,,,,,,,c,001,,,2020_May_29_1409,reactive_intentional_encoding,3.2.4,60.06678610031084,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,,,,0,3,3,3,,,,,,,,,,,12.980112164994352,None,12.980112164994352,None,,,,,,,,,,,,,,,c,001,,,2020_May_29_1409,reactive_intentional_encoding,3.2.4,60.06678610031084,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,,,,0,4,4,4,,,,,,,,,,,14.467368165991502,None,14.467368165991502,None,,,,,,,,,,,,,,,c,001,,,2020_May_29_1409,reactive_intentional_encoding,3.2.4,60.06678610031084,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,,,,0,5,5,5,,,,,,,,,,,15.979091019995394,None,15.979091019995394,None,,,,,,,,,,,,,,,c,001,,,2020_May_29_1409,reactive_intentional_encoding,3.2.4,60.06678610031084,
7,images/barrel.jpg,images/emma_stone.jpg,face,,,,0,6,6,6,,,,,,,,,,,17.479197298001964,None,17.479197298001964,None,,,,,,,,,,,,,,,c,001,,,2020_May_29_1409,reactive_intentional_encoding,3.2.4,60.06678610031084,
8,images/bathrobe.png,images/emma_watson.jpg,face,,,,0,7,7,7,,,,,,,,,,,18.951689936002367,None,18.951689936002367,None,,,,,,,,,,,,,,,c,001,,,2020_May_29_1409,reactive_intentional_encoding,3.2.4,60.06678610031084,
9,images/beetle.png,images/george_clooney_a.jpg,face,,,,0,8,8,8,,,,,,,,,,,20.450718003994552,None,20.450718003994552,None,,,,,,,,,,,,,,,c,001,,,2020_May_29_1409,reactive_intentional_encoding,3.2.4,60.06678610031084,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,,,,0,9,9,9,,,,,,,,,,,21.946592955995584,None,21.946592955995584,None,,,,,,,,,,,,,,,c,001,,,2020_May_29_1409,reactive_intentional_encoding,3.2.4,60.06678610031084,
11,images/bib.png,images/hillary_clinton_a.jpg,face,,,,0,10,10,10,,,,,,,,,,,23.46238513800199,None,23.46238513800199,None,,,,,,,,,,,,,,,c,001,,,2020_May_29_1409,reactive_intentional_encoding,3.2.4,60.06678610031084,
12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,,,,0,11,11,11,,,,,,,,,,,24.934731864996138,None,24.934731864996138,None,,,,,,,,,,,,,,,c,001,,,2020_May_29_1409,reactive_intentional_encoding,3.2.4,60.06678610031084,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,25.44794562899915,None,space,3.4220793189888354,25.44794562899915,None,,,,,,,,,c,001,,,2020_May_29_1409,reactive_intentional_encoding,3.2.4,60.06678610031084,
4,images/ball_baseball.png,,face,images/dakota_fanning_c.jpg,images/dakota_fanning_c.jpg,images/dakota_fanning_c.jpg,,,,,,,,,0,0,0,3,,,,,,,,,,,,,28.92922276999161,30.946046334996936,28.92922276999161,30.946046334996936,30.898924801003886,31.412034548004158,31.91267709499516,None,c,001,,,2020_May_29_1409,reactive_intentional_encoding,3.2.4,60.06678610031084,
3,images/ball_8.png,,face,images/courtney_cox_c.jpg,images/courtney_cox_c.jpg,images/courtney_cox_c.jpg,,,,,,,,,0,1,1,2,,,,,,,,,,,,,32.946585666999454,34.96399763299269,32.946585666999454,34.96399763299269,34.945776391992695,35.44578975599143,35.92989131200011,None,c,001,,,2020_May_29_1409,reactive_intentional_encoding,3.2.4,60.06678610031084,
12,images/bird_parrot.png,,face,images/jackie_kennedy_a.jpg,images/jackie_kennedy_a.jpg,images/jackie_kennedy_a.jpg,,,,,,,,,0,2,2,11,,,,,,,,,,,,,36.92982863499492,38.92991581799288,36.92982863499492,38.92991581799288,38.8962522590009,39.39632354800415,39.90054395799234,None,c,001,,,2020_May_29_1409,reactive_intentional_encoding,3.2.4,60.06678610031084,
