trial,image_a,image_b,category_b,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction_text.started,Instruction_text.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,0,0,0,0,6.993496297989623,None,8.047571970993886,None,8.047571970993886,None,d,001,2020_May_29_1252,reactive_intentional_encoding,3.2.4,59.831397750052076,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,0,1,1,1,,,9.475933691996033,None,9.475933691996033,None,d,001,2020_May_29_1252,reactive_intentional_encoding,3.2.4,59.831397750052076,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,0,2,2,2,,,10.975471134996042,10.492237090991694,10.975471134996042,10.492237090991694,d,001,2020_May_29_1252,reactive_intentional_encoding,3.2.4,59.831397750052076,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,0,3,3,3,,,12.474664437002502,11.990877264994197,12.474664437002502,11.990877264994197,d,001,2020_May_29_1252,reactive_intentional_encoding,3.2.4,59.831397750052076,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,0,4,4,4,,,13.974329696997302,13.491880424000556,13.974329696997302,13.491880424000556,d,001,2020_May_29_1252,reactive_intentional_encoding,3.2.4,59.831397750052076,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,0,5,5,5,,,15.474477268988267,14.993654890990001,15.474477268988267,14.993654890990001,d,001,2020_May_29_1252,reactive_intentional_encoding,3.2.4,59.831397750052076,
7,images/barrel.jpg,images/emma_stone.jpg,face,0,6,6,6,,,16.991679069993552,16.508360369989532,16.991679069993552,16.508360369989532,d,001,2020_May_29_1252,reactive_intentional_encoding,3.2.4,59.831397750052076,
8,images/bathrobe.png,images/emma_watson.jpg,face,0,7,7,7,,,18.490666990997852,None,18.490666990997852,None,d,001,2020_May_29_1252,reactive_intentional_encoding,3.2.4,59.831397750052076,
9,images/beetle.png,images/george_clooney_a.jpg,face,0,8,8,8,,,19.991142587998183,None,19.991142587998183,None,d,001,2020_May_29_1252,reactive_intentional_encoding,3.2.4,59.831397750052076,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,0,9,9,9,,,21.49080286899698,None,21.49080286899698,None,d,001,2020_May_29_1252,reactive_intentional_encoding,3.2.4,59.831397750052076,
11,images/bib.png,images/hillary_clinton_a.jpg,face,0,10,10,10,,,23.0583691639913,None,23.0583691639913,None,d,001,2020_May_29_1252,reactive_intentional_encoding,3.2.4,59.831397750052076,
12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,0,11,11,11,,,24.491690700000618,None,24.491690700000618,None,d,001,2020_May_29_1252,reactive_intentional_encoding,3.2.4,59.831397750052076,
