trial,image_a,image_b,category_b,location_a,Location_b,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction_text.started,Instruction_text.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,left,right,0,0,0,0,10.644923034997191,None,14.498118214003625,None,14.498118214003625,None,ds,001,2020_May_29_1231,reactive_intentional_encoding,3.2.4,60.182812394672716,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,left,right,0,1,1,1,,,18.960083805010072,None,18.960083805010072,None,ds,001,2020_May_29_1231,reactive_intentional_encoding,3.2.4,60.182812394672716,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,left,right,0,2,2,2,,,23.442893322004238,None,23.442893322004238,None,ds,001,2020_May_29_1231,reactive_intentional_encoding,3.2.4,60.182812394672716,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,left,right,0,3,3,3,,,28.02674829401076,None,28.02674829401076,None,ds,001,2020_May_29_1231,reactive_intentional_encoding,3.2.4,60.182812394672716,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,left,right,0,4,4,4,,,32.426650488007,None,32.426650488007,None,ds,001,2020_May_29_1231,reactive_intentional_encoding,3.2.4,60.182812394672716,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,left,right,0,5,5,5,,,36.943234889011364,None,36.943234889011364,None,ds,001,2020_May_29_1231,reactive_intentional_encoding,3.2.4,60.182812394672716,
7,images/barrel.jpg,images/emma_stone.jpg,face,left,right,0,6,6,6,,,41.45985231100349,None,41.45985231100349,None,ds,001,2020_May_29_1231,reactive_intentional_encoding,3.2.4,60.182812394672716,
8,images/bathrobe.png,images/emma_watson.jpg,face,left,right,0,7,7,7,,,45.97575393800798,None,45.97575393800798,None,ds,001,2020_May_29_1231,reactive_intentional_encoding,3.2.4,60.182812394672716,
9,images/beetle.png,images/george_clooney_a.jpg,face,left,right,0,8,8,8,,,50.42681997700129,None,50.42681997700129,None,ds,001,2020_May_29_1231,reactive_intentional_encoding,3.2.4,60.182812394672716,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,left,right,0,9,9,9,,,54.92674482300936,None,54.92674482300936,None,ds,001,2020_May_29_1231,reactive_intentional_encoding,3.2.4,60.182812394672716,
11,images/bib.png,images/hillary_clinton_a.jpg,face,left,right,0,10,10,10,,,59.46004394099873,None,59.46004394099873,None,ds,001,2020_May_29_1231,reactive_intentional_encoding,3.2.4,60.182812394672716,
12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,left,right,0,11,11,11,,,63.92661342100473,None,63.92661342100473,None,ds,001,2020_May_29_1231,reactive_intentional_encoding,3.2.4,60.182812394672716,
