trial,image_a,image_b,category_b,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction_text.started,Instruction_text.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,0,0,0,0,6.867551141011063,None,9.402117143006762,None,9.402117143006762,None,ij,001,2020_May_29_1320,reactive_intentional_encoding,3.2.4,59.66357464521906,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,0,1,1,1,,,10.868143580009928,None,10.868143580009928,None,ij,001,2020_May_29_1320,reactive_intentional_encoding,3.2.4,59.66357464521906,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,0,2,2,2,,,12.367697188004968,None,12.367697188004968,None,ij,001,2020_May_29_1320,reactive_intentional_encoding,3.2.4,59.66357464521906,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,0,3,3,3,,,13.867241092011682,None,13.867241092011682,None,ij,001,2020_May_29_1320,reactive_intentional_encoding,3.2.4,59.66357464521906,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,0,4,4,4,,,15.353776635005488,None,15.353776635005488,None,ij,001,2020_May_29_1320,reactive_intentional_encoding,3.2.4,59.66357464521906,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,0,5,5,5,,,16.86698767900816,None,16.86698767900816,None,ij,001,2020_May_29_1320,reactive_intentional_encoding,3.2.4,59.66357464521906,
7,images/barrel.jpg,images/emma_stone.jpg,face,0,6,6,6,,,18.366942437001853,None,18.366942437001853,None,ij,001,2020_May_29_1320,reactive_intentional_encoding,3.2.4,59.66357464521906,
8,images/bathrobe.png,images/emma_watson.jpg,face,0,7,7,7,,,19.83713472900854,None,19.83713472900854,None,ij,001,2020_May_29_1320,reactive_intentional_encoding,3.2.4,59.66357464521906,
9,images/beetle.png,images/george_clooney_a.jpg,face,0,8,8,8,,,21.320152361004148,None,21.320152361004148,None,ij,001,2020_May_29_1320,reactive_intentional_encoding,3.2.4,59.66357464521906,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,0,9,9,9,,,22.834416145007708,21.834637296007713,22.834416145007708,21.834637296007713,ij,001,2020_May_29_1320,reactive_intentional_encoding,3.2.4,59.66357464521906,
11,images/bib.png,images/hillary_clinton_a.jpg,face,0,10,10,10,,,24.351071032011532,None,24.351071032011532,None,ij,001,2020_May_29_1320,reactive_intentional_encoding,3.2.4,59.66357464521906,
12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,0,11,11,11,,,25.854548774004797,None,25.854548774004797,None,ij,001,2020_May_29_1320,reactive_intentional_encoding,3.2.4,59.66357464521906,
