trial,image_a,image_b,category_b,location_a,Location_b,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction_text.started,Instruction_text.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,left,right,0,0,0,0,6.756155533003039,None,8.491640218999237,None,8.491640218999237,None,j,001,2020_May_28_2224,reactive_intentional_encoding,3.2.4,59.98322820904789,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,left,right,0,1,1,1,,,11.94191833899822,None,11.94191833899822,None,j,001,2020_May_28_2224,reactive_intentional_encoding,3.2.4,59.98322820904789,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,left,right,0,2,2,2,,,15.42505377100315,None,15.42505377100315,None,j,001,2020_May_28_2224,reactive_intentional_encoding,3.2.4,59.98322820904789,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,left,right,0,3,3,3,,,18.925151771007222,None,18.925151771007222,None,j,001,2020_May_28_2224,reactive_intentional_encoding,3.2.4,59.98322820904789,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,left,right,0,4,4,4,,,22.424508059004438,None,22.424508059004438,None,j,001,2020_May_28_2224,reactive_intentional_encoding,3.2.4,59.98322820904789,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,left,right,0,5,5,5,,,25.924909275010577,None,25.924909275010577,None,j,001,2020_May_28_2224,reactive_intentional_encoding,3.2.4,59.98322820904789,
7,images/barrel.jpg,images/emma_stone.jpg,face,left,right,0,6,6,6,,,29.425166808010545,None,29.425166808010545,None,j,001,2020_May_28_2224,reactive_intentional_encoding,3.2.4,59.98322820904789,
8,images/bathrobe.png,images/emma_watson.jpg,face,left,right,0,7,7,7,,,32.92505246400833,None,32.92505246400833,None,j,001,2020_May_28_2224,reactive_intentional_encoding,3.2.4,59.98322820904789,
9,images/beetle.png,images/george_clooney_a.jpg,face,left,right,0,8,8,8,,,36.425116737998906,None,36.425116737998906,None,j,001,2020_May_28_2224,reactive_intentional_encoding,3.2.4,59.98322820904789,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,left,right,0,9,9,9,,,39.92549242499808,None,39.92549242499808,None,j,001,2020_May_28_2224,reactive_intentional_encoding,3.2.4,59.98322820904789,
11,images/bib.png,images/hillary_clinton_a.jpg,face,left,right,0,10,10,10,,,43.42516670199984,None,43.42516670199984,None,j,001,2020_May_28_2224,reactive_intentional_encoding,3.2.4,59.98322820904789,
12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,left,right,0,11,11,11,,,46.925271024010726,None,46.925271024010726,None,j,001,2020_May_28_2224,reactive_intentional_encoding,3.2.4,59.98322820904789,
