trial,image_a,image_b,category_b,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction_text.started,Instruction_text.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,0,0,0,0,6.169802710006479,None,7.791150568999001,None,7.791150568999001,None,k,001,2020_May_29_1256,reactive_intentional_encoding,3.2.4,59.918612187433055,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,0,1,1,1,,,8.736600308999186,None,8.736600308999186,None,k,001,2020_May_29_1256,reactive_intentional_encoding,3.2.4,59.918612187433055,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,0,2,2,2,,,9.719861694000429,None,9.719861694000429,None,k,001,2020_May_29_1256,reactive_intentional_encoding,3.2.4,59.918612187433055,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,0,3,3,3,,,10.702659663002123,None,10.702659663002123,None,k,001,2020_May_29_1256,reactive_intentional_encoding,3.2.4,59.918612187433055,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,0,4,4,4,,,11.702736372011714,11.219035998001345,11.702736372011714,11.219035998001345,k,001,2020_May_29_1256,reactive_intentional_encoding,3.2.4,59.918612187433055,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,0,5,5,5,,,12.702954075008165,12.219990420009708,12.702954075008165,12.219990420009708,k,001,2020_May_29_1256,reactive_intentional_encoding,3.2.4,59.918612187433055,
7,images/barrel.jpg,images/emma_stone.jpg,face,0,6,6,6,,,13.703212888998678,13.221743091999087,13.703212888998678,13.221743091999087,k,001,2020_May_29_1256,reactive_intentional_encoding,3.2.4,59.918612187433055,
8,images/bathrobe.png,images/emma_watson.jpg,face,0,7,7,7,,,14.702615728005185,14.219070817998727,14.702615728005185,14.219070817998727,k,001,2020_May_29_1256,reactive_intentional_encoding,3.2.4,59.918612187433055,
9,images/beetle.png,images/george_clooney_a.jpg,face,0,8,8,8,,,15.702277218006202,15.219720913999481,15.702277218006202,15.219720913999481,k,001,2020_May_29_1256,reactive_intentional_encoding,3.2.4,59.918612187433055,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,0,9,9,9,,,16.702530918002594,16.21953884200775,16.702530918002594,16.21953884200775,k,001,2020_May_29_1256,reactive_intentional_encoding,3.2.4,59.918612187433055,
11,images/bib.png,images/hillary_clinton_a.jpg,face,0,10,10,10,,,17.703036535007413,17.222688834997825,17.703036535007413,17.222688834997825,k,001,2020_May_29_1256,reactive_intentional_encoding,3.2.4,59.918612187433055,
12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,0,11,11,11,,,18.702801603008993,18.21865618501033,18.702801603008993,18.21865618501033,k,001,2020_May_29_1256,reactive_intentional_encoding,3.2.4,59.918612187433055,
