trial,image_a,image_b,category_b,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction_text.started,Instruction_text.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,0,0,0,0,6.007477562001441,None,7.308534237992717,None,7.308534237992717,None,,,k,001,2020_May_29_1259,reactive_intentional_encoding,3.2.4,60.03188257458548,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,0,1,1,1,,,8.253254932991695,None,8.253254932991695,None,,,k,001,2020_May_29_1259,reactive_intentional_encoding,3.2.4,60.03188257458548,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,0,2,2,2,,,9.253368616991793,None,9.253368616991793,None,,,k,001,2020_May_29_1259,reactive_intentional_encoding,3.2.4,60.03188257458548,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,0,3,3,3,,,10.253675703992485,None,10.253675703992485,None,,,k,001,2020_May_29_1259,reactive_intentional_encoding,3.2.4,60.03188257458548,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,0,4,4,4,,,11.25329139099631,None,11.25329139099631,None,,,k,001,2020_May_29_1259,reactive_intentional_encoding,3.2.4,60.03188257458548,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,0,5,5,5,,,12.253984258000855,None,12.253984258000855,None,,,k,001,2020_May_29_1259,reactive_intentional_encoding,3.2.4,60.03188257458548,
7,images/barrel.jpg,images/emma_stone.jpg,face,0,6,6,6,,,13.253268218992162,None,13.253268218992162,None,,,k,001,2020_May_29_1259,reactive_intentional_encoding,3.2.4,60.03188257458548,
8,images/bathrobe.png,images/emma_watson.jpg,face,0,7,7,7,,,14.254209955994156,None,14.254209955994156,None,,,k,001,2020_May_29_1259,reactive_intentional_encoding,3.2.4,60.03188257458548,
9,images/beetle.png,images/george_clooney_a.jpg,face,0,8,8,8,,,15.25412429300195,None,15.25412429300195,None,,,k,001,2020_May_29_1259,reactive_intentional_encoding,3.2.4,60.03188257458548,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,0,9,9,9,,,16.253691563004395,None,16.253691563004395,None,,,k,001,2020_May_29_1259,reactive_intentional_encoding,3.2.4,60.03188257458548,
11,images/bib.png,images/hillary_clinton_a.jpg,face,0,10,10,10,,,17.254007066992926,None,17.254007066992926,None,,,k,001,2020_May_29_1259,reactive_intentional_encoding,3.2.4,60.03188257458548,
