trial,image_a,image_b,category_b,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction_text.started,Instruction_text.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text.started,text.stopped,key_resp_instruction2_0.keys,key_resp_instruction2_0.rt,key_resp_instruction2_0.started,key_resp_instruction2_0.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,0,0,0,0,5.874521033008932,None,7.427850899010082,None,7.427850899010082,None,,,,,,,k,001,2020_May_29_1322,reactive_intentional_encoding,3.2.4,59.93988581333754,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,0,1,1,1,,,8.877188869999372,None,8.877188869999372,None,,,,,,,k,001,2020_May_29_1322,reactive_intentional_encoding,3.2.4,59.93988581333754,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,0,2,2,2,,,10.377391696005361,None,10.377391696005361,None,,,,,,,k,001,2020_May_29_1322,reactive_intentional_encoding,3.2.4,59.93988581333754,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,0,3,3,3,,,11.865615646005608,None,11.865615646005608,None,,,,,,,k,001,2020_May_29_1322,reactive_intentional_encoding,3.2.4,59.93988581333754,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,0,4,4,4,,,13.363880556004005,None,13.363880556004005,None,,,,,,,k,001,2020_May_29_1322,reactive_intentional_encoding,3.2.4,59.93988581333754,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,0,5,5,5,,,14.860899612001958,None,14.860899612001958,None,,,,,,,k,001,2020_May_29_1322,reactive_intentional_encoding,3.2.4,59.93988581333754,
7,images/barrel.jpg,images/emma_stone.jpg,face,0,6,6,6,,,16.394166919999407,None,16.394166919999407,None,,,,,,,k,001,2020_May_29_1322,reactive_intentional_encoding,3.2.4,59.93988581333754,
8,images/bathrobe.png,images/emma_watson.jpg,face,0,7,7,7,,,17.880959813002846,None,17.880959813002846,None,,,,,,,k,001,2020_May_29_1322,reactive_intentional_encoding,3.2.4,59.93988581333754,
9,images/beetle.png,images/george_clooney_a.jpg,face,0,8,8,8,,,19.347156771007576,None,19.347156771007576,None,,,,,,,k,001,2020_May_29_1322,reactive_intentional_encoding,3.2.4,59.93988581333754,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,0,9,9,9,,,20.86009620600089,19.86026031700021,20.86009620600089,19.86026031700021,,,,,,,k,001,2020_May_29_1322,reactive_intentional_encoding,3.2.4,59.93988581333754,
11,images/bib.png,images/hillary_clinton_a.jpg,face,0,10,10,10,,,22.377845434006304,None,22.377845434006304,None,,,,,,,k,001,2020_May_29_1322,reactive_intentional_encoding,3.2.4,59.93988581333754,
12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,0,11,11,11,,,23.846871817004285,None,23.846871817004285,None,,,,,,,k,001,2020_May_29_1322,reactive_intentional_encoding,3.2.4,59.93988581333754,
,,,,,,,,,,,,,,24.36034363800718,None,space,5.416711503989063,24.36034363800718,None,k,001,2020_May_29_1322,reactive_intentional_encoding,3.2.4,59.93988581333754,
