trial,image_a,image_b,category_b,image_correct,image_alternative1,image_alternative2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruction_text.started,Instruction_text.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text.started,text.stopped,key_resp_instruction2_0.keys,key_resp_instruction2_0.rt,key_resp_instruction2_0.started,key_resp_instruction2_0.stopped,instruct_text.started,instruct_text.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,0,0,0,0,,,,,6.5565744299965445,None,8.591412476002006,None,8.591412476002006,None,,,,,,,,,k,001,,,2020_May_29_1331,reactive_intentional_encoding,3.2.4,59.997521378051445,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,,,,0,1,1,1,,,,,,,10.05709977800143,None,10.05709977800143,None,,,,,,,,,k,001,,,2020_May_29_1331,reactive_intentional_encoding,3.2.4,59.997521378051445,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,,,,0,2,2,2,,,,,,,11.556281457989826,None,11.556281457989826,None,,,,,,,,,k,001,,,2020_May_29_1331,reactive_intentional_encoding,3.2.4,59.997521378051445,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,,,,0,3,3,3,,,,,,,13.060870422996231,None,13.060870422996231,None,,,,,,,,,k,001,,,2020_May_29_1331,reactive_intentional_encoding,3.2.4,59.997521378051445,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,,,,0,4,4,4,,,,,,,14.526043720994494,None,14.526043720994494,None,,,,,,,,,k,001,,,2020_May_29_1331,reactive_intentional_encoding,3.2.4,59.997521378051445,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,,,,0,5,5,5,,,,,,,16.03818792400125,None,16.03818792400125,None,,,,,,,,,k,001,,,2020_May_29_1331,reactive_intentional_encoding,3.2.4,59.997521378051445,
7,images/barrel.jpg,images/emma_stone.jpg,face,,,,0,6,6,6,,,,,,,17.571921369002666,None,17.571921369002666,None,,,,,,,,,k,001,,,2020_May_29_1331,reactive_intentional_encoding,3.2.4,59.997521378051445,
8,images/bathrobe.png,images/emma_watson.jpg,face,,,,0,7,7,7,,,,,,,19.05703894200269,None,19.05703894200269,None,,,,,,,,,k,001,,,2020_May_29_1331,reactive_intentional_encoding,3.2.4,59.997521378051445,
9,images/beetle.png,images/george_clooney_a.jpg,face,,,,0,8,8,8,,,,,,,20.524313361995155,None,20.524313361995155,None,,,,,,,,,k,001,,,2020_May_29_1331,reactive_intentional_encoding,3.2.4,59.997521378051445,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,,,,0,9,9,9,,,,,,,22.038187925994862,None,22.038187925994862,None,,,,,,,,,k,001,,,2020_May_29_1331,reactive_intentional_encoding,3.2.4,59.997521378051445,
11,images/bib.png,images/hillary_clinton_a.jpg,face,,,,0,10,10,10,,,,,,,23.555056195997167,None,23.555056195997167,None,,,,,,,,,k,001,,,2020_May_29_1331,reactive_intentional_encoding,3.2.4,59.997521378051445,
12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,,,,0,11,11,11,,,,,,,25.025453672991716,None,25.025453672991716,None,,,,,,,,,k,001,,,2020_May_29_1331,reactive_intentional_encoding,3.2.4,59.997521378051445,
,,,,,,,,,,,,,,,,,,,,,25.537567876992398,None,space,1.9339908749971073,25.537567876992398,None,,,k,001,,,2020_May_29_1331,reactive_intentional_encoding,3.2.4,59.997521378051445,
10,images/bench_park.png,,face,images/gwen_stefani_c.jpg,images/gwen_stefani_c.jpg,images/gwen_stefani_c.jpg,,,,,0,0,0,9,,,,,,,,,,,,,27.571037107991287,None,k,001,,,2020_May_29_1331,reactive_intentional_encoding,3.2.4,59.997521378051445,
7,images/barrel.jpg,,face,images/emma_stone.jpg,images/emma_stone.jpg,images/emma_stone.jpg,,,,,0,1,1,6,,,,,,,,,,,,,29.50543162500253,None,k,001,,,2020_May_29_1331,reactive_intentional_encoding,3.2.4,59.997521378051445,
3,images/ball_8.png,,face,images/courtney_cox_c.jpg,images/courtney_cox_c.jpg,images/courtney_cox_c.jpg,,,,,0,2,2,2,,,,,,,,,,,,,31.504053197000758,None,k,001,,,2020_May_29_1331,reactive_intentional_encoding,3.2.4,59.997521378051445,
4,images/ball_baseball.png,,face,images/dakota_fanning_c.jpg,images/dakota_fanning_c.jpg,images/dakota_fanning_c.jpg,,,,,0,3,3,3,,,,,,,,,,,,,33.50605364299554,None,k,001,,,2020_May_29_1331,reactive_intentional_encoding,3.2.4,59.997521378051445,
