trial,image_a,image_b,category_b,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruction_text.started,Instruction_text.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text.started,text.stopped,key_resp_instruction2_0.keys,key_resp_instruction2_0.rt,key_resp_instruction2_0.started,key_resp_instruction2_0.stopped,instruct_text.started,instruct_text.stopped,a_image_retrieve.started,a_image_retrieve.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,0,0,0,0,,,,,5.96764816599898,None,8.051669010994374,None,8.051669010994374,None,,,,,,,,,,,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,0,1,1,1,,,,,,,9.515348522996646,None,9.515348522996646,None,,,,,,,,,,,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,0,2,2,2,,,,,,,11.0156106390059,None,11.0156106390059,None,,,,,,,,,,,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,0,3,3,3,,,,,,,12.504170068001258,None,12.504170068001258,None,,,,,,,,,,,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,0,4,4,4,,,,,,,14.003221958992071,None,14.003221958992071,None,,,,,,,,,,,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,0,5,5,5,,,,,,,15.516064383002231,None,15.516064383002231,None,,,,,,,,,,,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
7,images/barrel.jpg,images/emma_stone.jpg,face,0,6,6,6,,,,,,,17.01525272699655,None,17.01525272699655,None,,,,,,,,,,,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
8,images/bathrobe.png,images/emma_watson.jpg,face,0,7,7,7,,,,,,,18.484198852005647,None,18.484198852005647,None,,,,,,,,,,,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
9,images/beetle.png,images/george_clooney_a.jpg,face,0,8,8,8,,,,,,,19.970270784993772,None,19.970270784993772,None,,,,,,,,,,,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,0,9,9,9,,,,,,,21.49839763699856,None,21.49839763699856,None,,,,,,,,,,,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
11,images/bib.png,images/hillary_clinton_a.jpg,face,0,10,10,10,,,,,,,22.998575215999153,None,22.998575215999153,None,,,,,,,,,,,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,0,11,11,11,,,,,,,24.501701030996628,None,24.501701030996628,None,,,,,,,,,,,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
,,,,,,,,,,,,,,,,,,24.99892461700074,None,space,7.426346869993722,24.99892461700074,None,,,,,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
8,images/bathrobe.png,images/emma_watson.jpg,face,,,,,0,0,0,7,,,,,,,,,,,,,32.46595863299444,None,32.46595863299444,None,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,,,,,0,1,1,11,,,,,,,,,,,,,34.46869386600156,None,34.46869386600156,None,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,,,,,0,2,2,5,,,,,,,,,,,,,36.4657911319955,None,36.4657911319955,None,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
11,images/bib.png,images/hillary_clinton_a.jpg,face,,,,,0,3,3,10,,,,,,,,,,,,,38.466010670003016,None,38.466010670003016,None,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,,0,4,4,0,,,,,,,,,,,,,40.46559670199349,None,40.46559670199349,None,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,,,,,0,5,5,3,,,,,,,,,,,,,42.464994859998114,None,42.464994859998114,None,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,,,,,0,6,6,4,,,,,,,,,,,,,44.48179925599834,None,44.48179925599834,None,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
7,images/barrel.jpg,images/emma_stone.jpg,face,,,,,0,7,7,6,,,,,,,,,,,,,46.48280827100098,None,46.48280827100098,None,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,,,,,0,8,8,1,,,,,,,,,,,,,48.48250397699303,None,48.48250397699303,None,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,,,,,0,9,9,9,,,,,,,,,,,,,50.481915509997634,None,50.481915509997634,None,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
9,images/beetle.png,images/george_clooney_a.jpg,face,,,,,0,10,10,8,,,,,,,,,,,,,52.46974037200562,None,52.46974037200562,None,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,,,,,0,11,11,2,,,,,,,,,,,,,54.465265007995185,None,54.465265007995185,None,k,001,,,2020_May_29_1340,reactive_intentional_encoding,3.2.4,60.083732326715136,
