trial,image_a,image_b,category_b,image_correct,image_alternative1,image_alternative2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruction_text.started,Instruction_text.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text.started,text.stopped,key_resp_instruction2_0.keys,key_resp_instruction2_0.rt,key_resp_instruction2_0.started,key_resp_instruction2_0.stopped,instruct_text.started,instruct_text.stopped,a_image_retrieve.started,a_image_retrieve.stopped,text_2.started,text_2.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,0,0,0,0,,,,,,,,,6.470073296994087,None,8.104458788991906,None,8.104458788991906,None,,,,,,,,,,,,,k,001,,,2020_May_29_1406,reactive_intentional_encoding,3.2.4,60.17735965168188,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,,,,0,1,1,1,,,,,,,,,,,9.555275466002058,None,9.555275466002058,None,,,,,,,,,,,,,k,001,,,2020_May_29_1406,reactive_intentional_encoding,3.2.4,60.17735965168188,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,,,,0,2,2,2,,,,,,,,,,,11.044559141999343,None,11.044559141999343,None,,,,,,,,,,,,,k,001,,,2020_May_29_1406,reactive_intentional_encoding,3.2.4,60.17735965168188,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,,,,0,3,3,3,,,,,,,,,,,12.543487410992384,None,12.543487410992384,None,,,,,,,,,,,,,k,001,,,2020_May_29_1406,reactive_intentional_encoding,3.2.4,60.17735965168188,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,,,,0,4,4,4,,,,,,,,,,,14.04381167399697,None,14.04381167399697,None,,,,,,,,,,,,,k,001,,,2020_May_29_1406,reactive_intentional_encoding,3.2.4,60.17735965168188,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,,,,0,5,5,5,,,,,,,,,,,15.570093565998832,None,15.570093565998832,None,,,,,,,,,,,,,k,001,,,2020_May_29_1406,reactive_intentional_encoding,3.2.4,60.17735965168188,
7,images/barrel.jpg,images/emma_stone.jpg,face,,,,0,6,6,6,,,,,,,,,,,17.070259560001432,None,17.070259560001432,None,,,,,,,,,,,,,k,001,,,2020_May_29_1406,reactive_intentional_encoding,3.2.4,60.17735965168188,
8,images/bathrobe.png,images/emma_watson.jpg,face,,,,0,7,7,7,,,,,,,,,,,18.542017728002975,None,18.542017728002975,None,,,,,,,,,,,,,k,001,,,2020_May_29_1406,reactive_intentional_encoding,3.2.4,60.17735965168188,
9,images/beetle.png,images/george_clooney_a.jpg,face,,,,0,8,8,8,,,,,,,,,,,20.04149934099405,None,20.04149934099405,None,,,,,,,,,,,,,k,001,,,2020_May_29_1406,reactive_intentional_encoding,3.2.4,60.17735965168188,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,,,,0,9,9,9,,,,,,,,,,,21.553630627997336,None,21.553630627997336,None,,,,,,,,,,,,,k,001,,,2020_May_29_1406,reactive_intentional_encoding,3.2.4,60.17735965168188,
