trial,image_a,image_b,category_b,image_correct,image_alternative1,image_alternative2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruction_text.started,Instruction_text.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text.started,text.stopped,key_resp_instruction2_0.keys,key_resp_instruction2_0.rt,key_resp_instruction2_0.started,key_resp_instruction2_0.stopped,instruct_text.started,instruct_text.stopped,a_image_retrieve.started,a_image_retrieve.stopped,text_2.started,text_2.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,0,0,0,0,,,,,,,,,9.138557287995354,None,10.806843487996957,None,10.806843487996957,None,,,,,,,,,,,,,k,001,,,2020_May_29_1407,reactive_intentional_encoding,3.2.4,59.934178127298374,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,,,,0,1,1,1,,,,,,,,,,,12.272020791991963,None,12.272020791991963,None,,,,,,,,,,,,,k,001,,,2020_May_29_1407,reactive_intentional_encoding,3.2.4,59.934178127298374,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,,,,0,2,2,2,,,,,,,,,,,13.77247892098967,None,13.77247892098967,None,,,,,,,,,,,,,k,001,,,2020_May_29_1407,reactive_intentional_encoding,3.2.4,59.934178127298374,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,,,,0,3,3,3,,,,,,,,,,,15.260217739996733,None,15.260217739996733,None,,,,,,,,,,,,,k,001,,,2020_May_29_1407,reactive_intentional_encoding,3.2.4,59.934178127298374,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,,,,0,4,4,4,,,,,,,,,,,16.759495289996266,None,16.759495289996266,None,,,,,,,,,,,,,k,001,,,2020_May_29_1407,reactive_intentional_encoding,3.2.4,59.934178127298374,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,,,,0,5,5,5,,,,,,,,,,,18.256183189994772,None,18.256183189994772,None,,,,,,,,,,,,,k,001,,,2020_May_29_1407,reactive_intentional_encoding,3.2.4,59.934178127298374,
7,images/barrel.jpg,images/emma_stone.jpg,face,,,,0,6,6,6,,,,,,,,,,,19.756184070996824,None,19.756184070996824,None,,,,,,,,,,,,,k,001,,,2020_May_29_1407,reactive_intentional_encoding,3.2.4,59.934178127298374,
8,images/bathrobe.png,images/emma_watson.jpg,face,,,,0,7,7,7,,,,,,,,,,,21.25790011699428,None,21.25790011699428,None,,,,,,,,,,,,,k,001,,,2020_May_29_1407,reactive_intentional_encoding,3.2.4,59.934178127298374,
9,images/beetle.png,images/george_clooney_a.jpg,face,,,,0,8,8,8,,,,,,,,,,,22.74169324399554,None,22.74169324399554,None,,,,,,,,,,,,,k,001,,,2020_May_29_1407,reactive_intentional_encoding,3.2.4,59.934178127298374,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,,,,0,9,9,9,,,,,,,,,,,24.239512633997947,None,24.239512633997947,None,,,,,,,,,,,,,k,001,,,2020_May_29_1407,reactive_intentional_encoding,3.2.4,59.934178127298374,
11,images/bib.png,images/hillary_clinton_a.jpg,face,,,,0,10,10,10,,,,,,,,,,,25.755483139000717,None,25.755483139000717,None,,,,,,,,,,,,,k,001,,,2020_May_29_1407,reactive_intentional_encoding,3.2.4,59.934178127298374,
12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,,,,0,11,11,11,,,,,,,,,,,27.259031536988914,None,27.259031536988914,None,,,,,,,,,,,,,k,001,,,2020_May_29_1407,reactive_intentional_encoding,3.2.4,59.934178127298374,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,27.75574115398922,None,space,2.836927782991552,27.75574115398922,None,,,,,,,k,001,,,2020_May_29_1407,reactive_intentional_encoding,3.2.4,59.934178127298374,
6,images/bandage.jpg,,face,images/ellen_degeneres_b.jpg,images/ellen_degeneres_b.jpg,images/ellen_degeneres_b.jpg,,,,,,,,,0,0,0,5,,,,,,,,,,,,,30.654902545997174,32.65550533100031,30.654902545997174,32.65550533100031,32.63841270899866,None,k,001,,,2020_May_29_1407,reactive_intentional_encoding,3.2.4,59.934178127298374,
5,images/balloon.jpg,,face,images/drew_barrymore_c.jpg,images/drew_barrymore_c.jpg,images/drew_barrymore_c.jpg,,,,,,,,,0,1,1,4,,,,,,,,,,,,,33.15545774099883,35.155413914995734,33.15545774099883,35.155413914995734,35.13899524399312,None,k,001,,,2020_May_29_1407,reactive_intentional_encoding,3.2.4,59.934178127298374,
