trial,image_a,image_b,category_b,image_correct,image_alternative1,image_alternative2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruction_text.started,Instruction_text.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text.started,text.stopped,key_resp_instruction2_0.keys,key_resp_instruction2_0.rt,key_resp_instruction2_0.started,key_resp_instruction2_0.stopped,instruct_text.started,instruct_text.stopped,a_image_retrieve.started,a_image_retrieve.stopped,text_2.started,text_2.stopped,image_alernate_1.started,image_alernate_1.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,0,0,0,0,,,,,,,,,5.891853141001775,None,7.5120174449984916,None,7.5120174449984916,None,,,,,,,,,,,,,,,k,001,,,2020_May_29_1408,reactive_intentional_encoding,3.2.4,60.02000815221331,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,,,,0,1,1,1,,,,,,,,,,,8.945017783989897,None,8.945017783989897,None,,,,,,,,,,,,,,,k,001,,,2020_May_29_1408,reactive_intentional_encoding,3.2.4,60.02000815221331,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,,,,0,2,2,2,,,,,,,,,,,10.444869254992227,None,10.444869254992227,None,,,,,,,,,,,,,,,k,001,,,2020_May_29_1408,reactive_intentional_encoding,3.2.4,60.02000815221331,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,,,,0,3,3,3,,,,,,,,,,,11.932870161996107,None,11.932870161996107,None,,,,,,,,,,,,,,,k,001,,,2020_May_29_1408,reactive_intentional_encoding,3.2.4,60.02000815221331,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,,,,0,4,4,4,,,,,,,,,,,13.431941340997582,None,13.431941340997582,None,,,,,,,,,,,,,,,k,001,,,2020_May_29_1408,reactive_intentional_encoding,3.2.4,60.02000815221331,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,,,,0,5,5,5,,,,,,,,,,,14.928224328003125,None,14.928224328003125,None,,,,,,,,,,,,,,,k,001,,,2020_May_29_1408,reactive_intentional_encoding,3.2.4,60.02000815221331,
7,images/barrel.jpg,images/emma_stone.jpg,face,,,,0,6,6,6,,,,,,,,,,,16.461210517998552,None,16.461210517998552,None,,,,,,,,,,,,,,,k,001,,,2020_May_29_1408,reactive_intentional_encoding,3.2.4,60.02000815221331,
8,images/bathrobe.png,images/emma_watson.jpg,face,,,,0,7,7,7,,,,,,,,,,,17.949372035989654,None,17.949372035989654,None,,,,,,,,,,,,,,,k,001,,,2020_May_29_1408,reactive_intentional_encoding,3.2.4,60.02000815221331,
9,images/beetle.png,images/george_clooney_a.jpg,face,,,,0,8,8,8,,,,,,,,,,,19.416019192998647,None,19.416019192998647,None,,,,,,,,,,,,,,,k,001,,,2020_May_29_1408,reactive_intentional_encoding,3.2.4,60.02000815221331,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,,,,0,9,9,9,,,,,,,,,,,20.92895904800389,None,20.92895904800389,None,,,,,,,,,,,,,,,k,001,,,2020_May_29_1408,reactive_intentional_encoding,3.2.4,60.02000815221331,
11,images/bib.png,images/hillary_clinton_a.jpg,face,,,,0,10,10,10,,,,,,,,,,,22.428788403994986,None,22.428788403994986,None,,,,,,,,,,,,,,,k,001,,,2020_May_29_1408,reactive_intentional_encoding,3.2.4,60.02000815221331,
12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,,,,0,11,11,11,,,,,,,,,,,23.93261515800259,None,23.93261515800259,None,,,,,,,,,,,,,,,k,001,,,2020_May_29_1408,reactive_intentional_encoding,3.2.4,60.02000815221331,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,24.428828485994018,None,space,1.5970883080008207,24.428828485994018,None,,,,,,,,,k,001,,,2020_May_29_1408,reactive_intentional_encoding,3.2.4,60.02000815221331,
10,images/bench_park.png,,face,images/gwen_stefani_c.jpg,images/gwen_stefani_c.jpg,images/gwen_stefani_c.jpg,,,,,,,,,0,0,0,9,,,,,,,,,,,,,26.08297477698943,28.11204794999503,26.08297477698943,28.11204794999503,28.062178228996345,None,26.08297477698943,27.099573333995068,k,001,,,2020_May_29_1408,reactive_intentional_encoding,3.2.4,60.02000815221331,
5,images/balloon.jpg,,face,images/drew_barrymore_c.jpg,images/drew_barrymore_c.jpg,images/drew_barrymore_c.jpg,,,,,,,,,0,1,1,4,,,,,,,,,,,,,28.578688048000913,30.578092247989844,28.578688048000913,30.578092247989844,30.5456454189989,None,28.578688048000913,29.596738412001287,k,001,,,2020_May_29_1408,reactive_intentional_encoding,3.2.4,60.02000815221331,
9,images/beetle.png,,face,images/george_clooney_a.jpg,images/george_clooney_a.jpg,images/george_clooney_a.jpg,,,,,,,,,0,2,2,8,,,,,,,,,,,,,31.062274041993078,33.07886679699004,31.062274041993078,33.07886679699004,33.03296829199826,31.062274041993078,31.062274041993078,32.0813419049955,k,001,,,2020_May_29_1408,reactive_intentional_encoding,3.2.4,60.02000815221331,
1,images/flipflopsBlue.png,,face,images/amy_poehler_c.jpg,images/amy_poehler_c.jpg,images/amy_poehler_c.jpg,,,,,,,,,0,3,3,0,,,,,,,,,,,,,33.565814920002595,35.57872376199521,33.565814920002595,35.57872376199521,35.561549245991046,33.565814920002595,33.565814920002595,34.59500667300017,k,001,,,2020_May_29_1408,reactive_intentional_encoding,3.2.4,60.02000815221331,
3,images/ball_8.png,,face,images/courtney_cox_c.jpg,images/courtney_cox_c.jpg,images/courtney_cox_c.jpg,,,,,,,,,0,4,4,2,,,,,,,,,,,,,36.08167783699173,38.09512036500382,36.08167783699173,38.09512036500382,38.0782574939949,None,36.08167783699173,37.11170007799228,k,001,,,2020_May_29_1408,reactive_intentional_encoding,3.2.4,60.02000815221331,
2,images/bag_gift.png,,face,images/bill_gates_a.jpg,images/bill_gates_a.jpg,images/bill_gates_a.jpg,,,,,,,,,0,5,5,1,,,,,,,,,,,,,38.579752461999306,40.595108480993076,38.579752461999306,40.595108480993076,40.578723147991695,None,38.579752461999306,39.61191343900282,k,001,,,2020_May_29_1408,reactive_intentional_encoding,3.2.4,60.02000815221331,
