trial,image_a,image_b,category_b,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction_text.started,Instruction_text.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,0,0,0,0,6.805187631995068,None,7.871558737999294,None,7.871558737999294,None,l,001,2020_May_29_1253,reactive_intentional_encoding,3.2.4,59.943939827892486,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,0,1,1,1,,,8.804651487997035,None,8.804651487997035,None,l,001,2020_May_29_1253,reactive_intentional_encoding,3.2.4,59.943939827892486,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,0,2,2,2,,,9.807274140999652,None,9.807274140999652,None,l,001,2020_May_29_1253,reactive_intentional_encoding,3.2.4,59.943939827892486,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,0,3,3,3,,,10.807458364986815,None,10.807458364986815,None,l,001,2020_May_29_1253,reactive_intentional_encoding,3.2.4,59.943939827892486,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,0,4,4,4,,,11.807203394986573,None,11.807203394986573,None,l,001,2020_May_29_1253,reactive_intentional_encoding,3.2.4,59.943939827892486,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,0,5,5,5,,,12.806884936988354,None,12.806884936988354,None,l,001,2020_May_29_1253,reactive_intentional_encoding,3.2.4,59.943939827892486,
7,images/barrel.jpg,images/emma_stone.jpg,face,0,6,6,6,,,13.807481240990455,None,13.807481240990455,None,l,001,2020_May_29_1253,reactive_intentional_encoding,3.2.4,59.943939827892486,
8,images/bathrobe.png,images/emma_watson.jpg,face,0,7,7,7,,,14.80746742199699,None,14.80746742199699,None,l,001,2020_May_29_1253,reactive_intentional_encoding,3.2.4,59.943939827892486,
9,images/beetle.png,images/george_clooney_a.jpg,face,0,8,8,8,,,15.807284284994239,None,15.807284284994239,None,l,001,2020_May_29_1253,reactive_intentional_encoding,3.2.4,59.943939827892486,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,0,9,9,9,,,16.807322063992615,None,16.807322063992615,None,l,001,2020_May_29_1253,reactive_intentional_encoding,3.2.4,59.943939827892486,
11,images/bib.png,images/hillary_clinton_a.jpg,face,0,10,10,10,,,17.806469056988135,None,17.806469056988135,None,l,001,2020_May_29_1253,reactive_intentional_encoding,3.2.4,59.943939827892486,
12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,0,11,11,11,,,18.807411074987613,None,18.807411074987613,None,l,001,2020_May_29_1253,reactive_intentional_encoding,3.2.4,59.943939827892486,
