trial,image_a,image_b,category_b,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction_text.started,Instruction_text.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,0,0,0,0,6.782034111005487,None,9.88791210000636,None,9.88791210000636,None,,,l,001,2020_May_29_1315,reactive_intentional_encoding,3.2.4,60.10127256460546,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,0,1,1,1,,,11.333310000001802,None,11.333310000001802,None,,,l,001,2020_May_29_1315,reactive_intentional_encoding,3.2.4,60.10127256460546,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,0,2,2,2,,,12.816089992003981,None,12.816089992003981,None,,,l,001,2020_May_29_1315,reactive_intentional_encoding,3.2.4,60.10127256460546,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,0,3,3,3,,,14.316753723003785,13.333163736009737,14.316753723003785,13.333163736009737,,,l,001,2020_May_29_1315,reactive_intentional_encoding,3.2.4,60.10127256460546,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,0,4,4,4,,,15.816831887001172,14.833318443008466,15.816831887001172,14.833318443008466,,,l,001,2020_May_29_1315,reactive_intentional_encoding,3.2.4,60.10127256460546,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,0,5,5,5,,,17.33367283300322,None,17.33367283300322,None,,,l,001,2020_May_29_1315,reactive_intentional_encoding,3.2.4,60.10127256460546,
7,images/barrel.jpg,images/emma_stone.jpg,face,0,6,6,6,,,18.83365888100525,None,18.83365888100525,None,,,l,001,2020_May_29_1315,reactive_intentional_encoding,3.2.4,60.10127256460546,
8,images/bathrobe.png,images/emma_watson.jpg,face,0,7,7,7,,,20.33342321201053,None,20.33342321201053,None,,,l,001,2020_May_29_1315,reactive_intentional_encoding,3.2.4,60.10127256460546,
9,images/beetle.png,images/george_clooney_a.jpg,face,0,8,8,8,,,21.833239268002217,None,21.833239268002217,None,,,l,001,2020_May_29_1315,reactive_intentional_encoding,3.2.4,60.10127256460546,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,0,9,9,9,,,23.316399949006154,None,23.316399949006154,None,,,l,001,2020_May_29_1315,reactive_intentional_encoding,3.2.4,60.10127256460546,
11,images/bib.png,images/hillary_clinton_a.jpg,face,0,10,10,10,,,24.816316285010544,23.836239679003484,24.816316285010544,23.836239679003484,,,l,001,2020_May_29_1315,reactive_intentional_encoding,3.2.4,60.10127256460546,
12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,0,11,11,11,,,26.316363605001243,25.333328943001106,26.316363605001243,25.333328943001106,,,l,001,2020_May_29_1315,reactive_intentional_encoding,3.2.4,60.10127256460546,
,,,,,,,,,,,,,,26.816979705006815,None,,,,,,,
