trial,image_a,image_b,category_b,image_correct,image_alternative1,image_alternative2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruction_text.started,Instruction_text.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text.started,text.stopped,key_resp_instruction2_0.keys,key_resp_instruction2_0.rt,key_resp_instruction2_0.started,key_resp_instruction2_0.stopped,instruct_text.started,instruct_text.stopped,a_image_retrieve.started,a_image_retrieve.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,0,0,0,0,,,,,5.846869544009678,None,8.236994644001243,None,8.236994644001243,None,,,,,,,,,,,l,001,,,2020_May_29_1332,reactive_intentional_encoding,3.2.4,60.077739147670265,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,,,,0,1,1,1,,,,,,,9.70279127699905,None,9.70279127699905,None,,,,,,,,,,,l,001,,,2020_May_29_1332,reactive_intentional_encoding,3.2.4,60.077739147670265,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,,,,0,2,2,2,,,,,,,11.202444679001928,None,11.202444679001928,None,,,,,,,,,,,l,001,,,2020_May_29_1332,reactive_intentional_encoding,3.2.4,60.077739147670265,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,,,,0,3,3,3,,,,,,,12.673720179009251,None,12.673720179009251,None,,,,,,,,,,,l,001,,,2020_May_29_1332,reactive_intentional_encoding,3.2.4,60.077739147670265,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,,,,0,4,4,4,,,,,,,14.172888803004753,None,14.172888803004753,None,,,,,,,,,,,l,001,,,2020_May_29_1332,reactive_intentional_encoding,3.2.4,60.077739147670265,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,,,,0,5,5,5,,,,,,,15.685319152005832,None,15.685319152005832,None,,,,,,,,,,,l,001,,,2020_May_29_1332,reactive_intentional_encoding,3.2.4,60.077739147670265,
7,images/barrel.jpg,images/emma_stone.jpg,face,,,,0,6,6,6,,,,,,,17.1856511579972,None,17.1856511579972,None,,,,,,,,,,,l,001,,,2020_May_29_1332,reactive_intentional_encoding,3.2.4,60.077739147670265,
8,images/bathrobe.png,images/emma_watson.jpg,face,,,,0,7,7,7,,,,,,,18.65480735299934,None,18.65480735299934,None,,,,,,,,,,,l,001,,,2020_May_29_1332,reactive_intentional_encoding,3.2.4,60.077739147670265,
9,images/beetle.png,images/george_clooney_a.jpg,face,,,,0,8,8,8,,,,,,,20.138144327996997,19.156392297009006,20.138144327996997,19.156392297009006,,,,,,,,,,,l,001,,,2020_May_29_1332,reactive_intentional_encoding,3.2.4,60.077739147670265,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,,,,0,9,9,9,,,,,,,21.65287143099704,20.653492875004304,21.65287143099704,20.653492875004304,,,,,,,,,,,l,001,,,2020_May_29_1332,reactive_intentional_encoding,3.2.4,60.077739147670265,
11,images/bib.png,images/hillary_clinton_a.jpg,face,,,,0,10,10,10,,,,,,,23.16939588500827,None,23.16939588500827,None,,,,,,,,,,,l,001,,,2020_May_29_1332,reactive_intentional_encoding,3.2.4,60.077739147670265,
12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,,,,0,11,11,11,,,,,,,24.672509805997834,None,24.672509805997834,None,,,,,,,,,,,l,001,,,2020_May_29_1332,reactive_intentional_encoding,3.2.4,60.077739147670265,
,,,,,,,,,,,,,,,,,,,,,25.16923147100897,None,space,1.606382276993827,25.16923147100897,None,,,,,l,001,,,2020_May_29_1332,reactive_intentional_encoding,3.2.4,60.077739147670265,
10,images/bench_park.png,,face,images/gwen_stefani_c.jpg,images/gwen_stefani_c.jpg,images/gwen_stefani_c.jpg,,,,,0,0,0,9,,,,,,,,,,,,,26.835720123999636,None,26.835720123999636,27.835810853008297,l,001,,,2020_May_29_1332,reactive_intentional_encoding,3.2.4,60.077739147670265,
2,images/bag_gift.png,,face,images/bill_gates_a.jpg,images/bill_gates_a.jpg,images/bill_gates_a.jpg,,,,,0,1,1,1,,,,,,,,,,,,,28.835693549001007,None,28.835693549001007,29.85242822500004,l,001,,,2020_May_29_1332,reactive_intentional_encoding,3.2.4,60.077739147670265,
4,images/ball_baseball.png,,face,images/dakota_fanning_c.jpg,images/dakota_fanning_c.jpg,images/dakota_fanning_c.jpg,,,,,0,2,2,3,,,,,,,,,,,,,30.836120056002983,None,30.836120056002983,31.835863731001155,l,001,,,2020_May_29_1332,reactive_intentional_encoding,3.2.4,60.077739147670265,
9,images/beetle.png,,face,images/george_clooney_a.jpg,images/george_clooney_a.jpg,images/george_clooney_a.jpg,,,,,0,3,3,8,,,,,,,,,,,,,32.82217294200382,None,32.82217294200382,33.81857425000635,l,001,,,2020_May_29_1332,reactive_intentional_encoding,3.2.4,60.077739147670265,
