trial,image_a,image_b,category_b,image_correct,image_alternative1,image_alternative2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruction_text.started,Instruction_text.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text.started,text.stopped,key_resp_instruction2_0.keys,key_resp_instruction2_0.rt,key_resp_instruction2_0.started,key_resp_instruction2_0.stopped,instruct_text.started,instruct_text.stopped,a_image_retrieve.started,a_image_retrieve.stopped,text_2.started,text_2.stopped,correct_pair.started,correct_pair.stopped,afc_text.started,afc_text.stopped,alternative_1.started,alternative_1.stopped,alternative_2.started,alternative_2.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,0,0,0,0,,,,,,,,,14.266330546990503,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,l,001,,,2020_May_29_1426,reactive_intentional_encoding,3.2.4,59.937595851020625,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,,,,0,1,1,1,,,,,,,,,,,17.28377969400026,None,17.28377969400026,None,,,,,,,,,,,,,,,,,,,,,l,001,,,2020_May_29_1426,reactive_intentional_encoding,3.2.4,59.937595851020625,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,,,,0,2,2,2,,,,,,,,,,,18.78031576400099,None,18.78031576400099,None,,,,,,,,,,,,,,,,,,,,,l,001,,,2020_May_29_1426,reactive_intentional_encoding,3.2.4,59.937595851020625,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,,,,0,3,3,3,,,,,,,,,,,20.279024629999185,None,20.279024629999185,None,,,,,,,,,,,,,,,,,,,,,l,001,,,2020_May_29_1426,reactive_intentional_encoding,3.2.4,59.937595851020625,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,,,,0,4,4,4,,,,,,,,,,,21.86253395699896,None,21.86253395699896,None,,,,,,,,,,,,,,,,,,,,,l,001,,,2020_May_29_1426,reactive_intentional_encoding,3.2.4,59.937595851020625,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,,,,0,5,5,5,,,,,,,,,,,23.446323380994727,None,23.446323380994727,None,,,,,,,,,,,,,,,,,,,,,l,001,,,2020_May_29_1426,reactive_intentional_encoding,3.2.4,59.937595851020625,
7,images/barrel.jpg,images/emma_stone.jpg,face,,,,0,6,6,6,,,,,,,,,,,24.96302217199991,None,24.96302217199991,None,,,,,,,,,,,,,,,,,,,,,l,001,,,2020_May_29_1426,reactive_intentional_encoding,3.2.4,59.937595851020625,
8,images/bathrobe.png,images/emma_watson.jpg,face,,,,0,7,7,7,,,,,,,,,,,26.462810162993264,None,26.462810162993264,None,,,,,,,,,,,,,,,,,,,,,l,001,,,2020_May_29_1426,reactive_intentional_encoding,3.2.4,59.937595851020625,
9,images/beetle.png,images/george_clooney_a.jpg,face,,,,0,8,8,8,,,,,,,,,,,27.762772387999576,None,27.762772387999576,None,,,,,,,,,,,,,,,,,,,,,l,001,,,2020_May_29_1426,reactive_intentional_encoding,3.2.4,59.937595851020625,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,,,,0,9,9,9,,,,,,,,,,,29.26341696899908,None,29.26341696899908,None,,,,,,,,,,,,,,,,,,,,,l,001,,,2020_May_29_1426,reactive_intentional_encoding,3.2.4,59.937595851020625,
