instructions1,Instructions2,Image1,Image2,Image3,Image_4,position_1x,position_1y,position_2x,position_2y,J_key,K_key,L_key,trial,image_a,image_b,category_b,image_correct,image_alternative1,image_alternative2,instruction_intentional_encoding.thisRepN,instruction_intentional_encoding.thisTrialN,instruction_intentional_encoding.thisN,instruction_intentional_encoding.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,instructions_text2.started,instructions_text2.stopped,response.keys,response.rt,response.started,response.stopped,image1.started,image1.stopped,image2.started,image2.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text_12.started,text_12.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,image_3.started,image_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_5.started,text_5.stopped,text_8.started,text_8.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_5.started,image_5.stopped,image_6.started,image_6.stopped,K.started,K.stopped,L.started,L.stopped,J.started,J.stopped,instruct_text.started,instruct_text.stopped,a_image_retrieve.started,a_image_retrieve.stopped,text_2.started,text_2.stopped,correct_pair.started,correct_pair.stopped,afc_text.started,afc_text.stopped,alternative_1.started,alternative_1.stopped,alternative_2.started,alternative_2.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
Welcome to the memory experiment!,Press space to continue!,None,None,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,12.189587247004965,None,12.189587247004965,None,space,3.6763567560119554,12.189587247004965,None,12.189587247004965,None,12.189587247004965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,001,,,2020_Jun_04_1612,reactive_intentional_encoding_looped,3.2.4,59.91349043378583,
"On each trial of this task, you will see two images on the left and right side of the computer screen, like this.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,16.54107082998962,None,16.54107082998962,None,space,19.660750293987803,16.54107082998962,None,16.54107082998962,None,16.54107082998962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,001,,,2020_Jun_04_1612,reactive_intentional_encoding_looped,3.2.4,59.91349043378583,
Your job is to memorize that these images  go together. You can use any strategy to remember this.,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,36.366371384996455,None,36.366371384996455,None,space,0.5861006900086068,36.366371384996455,None,36.366371384996455,None,36.366371384996455,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,001,,,2020_Jun_04_1612,reactive_intentional_encoding_looped,3.2.4,59.91349043378583,
"For example, you could rehearse them in your memory, or link them through a story.",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,37.187767646013526,None,37.187767646013526,None,space,8.962523544003488,37.187767646013526,None,37.187767646013526,None,37.187767646013526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,001,,,2020_Jun_04_1612,reactive_intentional_encoding_looped,3.2.4,59.91349043378583,
It's important that you remember that these images go together. Your memory will later be tested. ,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,46.360782341012964,None,46.360782341012964,None,space,6.2424900329788215,46.360782341012964,None,46.360782341012964,None,46.360782341012964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,001,,,2020_Jun_04_1612,reactive_intentional_encoding_looped,3.2.4,59.91349043378583,
"Each pair of images will only last on the screen for a few sceonds, so pay attention!",Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,52.75460656199721,None,52.75460656199721,None,space,5.65681187500013,52.75460656199721,None,52.75460656199721,None,52.75460656199721,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,001,,,2020_Jun_04_1612,reactive_intentional_encoding_looped,3.2.4,59.91349043378583,
Get ready to see a series of image pairs! ,Press space to continue!,instruction_images/jessica_alba.jpg,instruction_images/oldBook.png,None,None,0,0.3,0.0,-0.4,None,None,None,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,58.58755238700542,None,58.58755238700542,None,space,3.6182489119819365,58.58755238700542,None,58.58755238700542,None,58.58755238700542,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,001,,,2020_Jun_04_1612,reactive_intentional_encoding_looped,3.2.4,59.91349043378583,
"When you're ready to start, press space!",None,None,None,None,None,0,0.0,None,None,None,None,None,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,62.35477154000546,None,62.35477154000546,None,space,6.360370773996692,62.35477154000546,None,62.35477154000546,None,62.35477154000546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,001,,,2020_Jun_04_1612,reactive_intentional_encoding_looped,3.2.4,59.91349043378583,
,,,,,,,,,,,,,1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,68.8537314220157,None,68.8537314220157,None,68.8537314220157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,001,,,2020_Jun_04_1612,reactive_intentional_encoding_looped,3.2.4,59.91349043378583,
,,,,,,,,,,,,,2,images/bag_gift.png,images/bill_gates_a.jpg,face,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,68.9390818309912,None,68.9390818309912,None,68.9390818309912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,001,,,2020_Jun_04_1612,reactive_intentional_encoding_looped,3.2.4,59.91349043378583,
