trial,image_a,image_b,category_b,image_correct,image_alternative1,image_alternative2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruction_text.started,Instruction_text.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text.started,text.stopped,key_resp_instruction2_0.keys,key_resp_instruction2_0.rt,key_resp_instruction2_0.started,key_resp_instruction2_0.stopped,instruct_text.started,instruct_text.stopped,a_image_retrieve.started,a_image_retrieve.stopped,text_2.started,text_2.stopped,image_alernate_1.started,image_alernate_1.stopped,afc_text.started,afc_text.stopped,participant,sex,age,,date,expName,psychopyVersion,frameRate,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,,,,0,0,0,0,,,,,,,,,6.4443532550067175,None,8.128006240003742,None,8.128006240003742,None,,,,,,,,,,,,,,,,,m,001,,,2020_May_29_1416,reactive_intentional_encoding,3.2.4,60.230205873345746,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,,,,0,1,1,1,,,,,,,,,,,9.483504202013137,None,9.483504202013137,None,,,,,,,,,,,,,,,,,m,001,,,2020_May_29_1416,reactive_intentional_encoding,3.2.4,60.230205873345746,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,,,,0,2,2,2,,,,,,,,,,,11.049974307999946,None,11.049974307999946,None,,,,,,,,,,,,,,,,,m,001,,,2020_May_29_1416,reactive_intentional_encoding,3.2.4,60.230205873345746,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,,,,0,3,3,3,,,,,,,,,,,12.549737409004592,None,12.549737409004592,None,,,,,,,,,,,,,,,,,m,001,,,2020_May_29_1416,reactive_intentional_encoding,3.2.4,60.230205873345746,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,,,,0,4,4,4,,,,,,,,,,,13.983401178003987,None,13.983401178003987,None,,,,,,,,,,,,,,,,,m,001,,,2020_May_29_1416,reactive_intentional_encoding,3.2.4,60.230205873345746,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,,,,0,5,5,5,,,,,,,,,,,15.481649916007882,None,15.481649916007882,None,,,,,,,,,,,,,,,,,m,001,,,2020_May_29_1416,reactive_intentional_encoding,3.2.4,60.230205873345746,
7,images/barrel.jpg,images/emma_stone.jpg,face,,,,0,6,6,6,,,,,,,,,,,17.031170177011518,None,17.031170177011518,None,,,,,,,,,,,,,,,,,m,001,,,2020_May_29_1416,reactive_intentional_encoding,3.2.4,60.230205873345746,
8,images/bathrobe.png,images/emma_watson.jpg,face,,,,0,7,7,7,,,,,,,,,,,18.599290765007026,None,18.599290765007026,None,,,,,,,,,,,,,,,,,m,001,,,2020_May_29_1416,reactive_intentional_encoding,3.2.4,60.230205873345746,
9,images/beetle.png,images/george_clooney_a.jpg,face,,,,0,8,8,8,,,,,,,,,,,20.03083126099955,None,20.03083126099955,None,,,,,,,,,,,,,,,,,m,001,,,2020_May_29_1416,reactive_intentional_encoding,3.2.4,60.230205873345746,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,,,,0,9,9,9,,,,,,,,,,,21.480360194007517,None,21.480360194007517,None,,,,,,,,,,,,,,,,,m,001,,,2020_May_29_1416,reactive_intentional_encoding,3.2.4,60.230205873345746,
11,images/bib.png,images/hillary_clinton_a.jpg,face,,,,0,10,10,10,,,,,,,,,,,23.00254895800026,None,23.00254895800026,None,,,,,,,,,,,,,,,,,m,001,,,2020_May_29_1416,reactive_intentional_encoding,3.2.4,60.230205873345746,
12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,,,,0,11,11,11,,,,,,,,,,,24.481080140001723,None,24.481080140001723,None,,,,,,,,,,,,,,,,,m,001,,,2020_May_29_1416,reactive_intentional_encoding,3.2.4,60.230205873345746,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,24.965374776002136,None,space,73.40611657800036,24.965374776002136,None,,,,,,,,,,,m,001,,,2020_May_29_1416,reactive_intentional_encoding,3.2.4,60.230205873345746,
3,images/ball_8.png,,face,images/courtney_cox_c.jpg,images/courtney_cox_c.jpg,images/courtney_cox_c.jpg,,,,,,,,,0,0,0,2,,,,,,,,,,,,,98.91391656800988,100.93085672101006,98.91391656800988,100.93085672101006,100.41378583300684,100.93085672101006,101.41318734400556,None,101.41318734400556,None,m,001,,,2020_May_29_1416,reactive_intentional_encoding,3.2.4,60.230205873345746,
8,images/bathrobe.png,,face,images/emma_watson.jpg,images/emma_watson.jpg,images/emma_watson.jpg,,,,,,,,,0,1,1,7,,,,,,,,,,,,,104.91691234000609,106.93078860800597,104.91691234000609,106.93078860800597,106.41619989801256,106.93078860800597,107.42997158100479,None,107.42997158100479,None,m,001,,,2020_May_29_1416,reactive_intentional_encoding,3.2.4,60.230205873345746,
12,images/bird_parrot.png,,face,images/jackie_kennedy_a.jpg,images/jackie_kennedy_a.jpg,images/jackie_kennedy_a.jpg,,,,,,,,,0,2,2,11,,,,,,,,,,,,,110.90132657000504,112.91367394001281,110.90132657000504,112.91367394001281,112.40190922201145,112.91367394001281,113.40125834400533,None,113.40125834400533,None,m,001,,,2020_May_29_1416,reactive_intentional_encoding,3.2.4,60.230205873345746,
1,images/flipflopsBlue.png,,face,images/amy_poehler_c.jpg,images/amy_poehler_c.jpg,images/amy_poehler_c.jpg,,,,,,,,,0,3,3,0,,,,,,,,,,,,,116.91329441600828,118.93082531201071,116.91329441600828,118.93082531201071,118.41371094901115,118.93082531201071,119.40062973101158,None,119.40062973101158,None,m,001,,,2020_May_29_1416,reactive_intentional_encoding,3.2.4,60.230205873345746,
