stimulus,shownPractice,classifyEnc,bin,StimNo
blankets.png,yes,nonliving,,
robin.png,yes,living,,
house.png,yes,nonliving,,
canadaHat.jpg,yes,nonliving,,
spongeScrubbing.jpg,yes,nonliving,,
rubberGloves.png,yes,nonliving,,
lego.png,yes,nonliving,,
bathrobe.png,yes,nonliving,,
toyTrain.png,yes,nonliving,,
treasureMap.png,yes,nonliving,,
fly.png,yes,living,,
goldfish.png,yes,living,,
sharpie.png,yes,nonliving,,
crackerCheese.jpg,yes,nonliving,,
iphone.jpg,yes,nonliving,,
printer.png,yes,nonliving,,
icicle.png,yes,nonliving,,
sloth.png,yes,living,,
cottonball.png,yes,nonliving,,
beetle.png,yes,living,,
goat.png,no,living,7,1
chipmunk.jpg,no,living,7,2
cow.png,no,living,7,3
squid.jpg,no,living,7,4
panda.jpg,no,living,7,5
pig.png,no,living,7,6
1bird_canadiangoose.jpg,no,living,7,7
boar.png,no,living,7,8
elephant.png,no,living,8,9
zebra.jpg,no,living,8,10
racoon.jpg,no,living,8,11
guineaPig.png,no,living,8,12
caterpillar_green.png,no,living,8,13
ostrich.jpg,no,living,8,14
dog_bulldog.jpg,no,living,8,15
giraffe.png,no,living,8,16
squirrel.jpg,no,living,9,17
caribou.png,no,living,9,18
bug_ladybug.png,no,living,9,19
dragonfly.png,no,living,9,20
tiger_white.png,no,living,9,21
horse.png,no,living,9,22
toad.png,no,living,9,23
owl.png,no,living,9,24
ram.png,no,living,10,25
fish_swordfish.png,no,living,10,26
butterfly.png,no,living,10,27
hedgehog.png,no,living,10,28
sheep.jpg,no,living,10,29
dog_cockerspaniel.jpg,no,living,10,30
flamingo.png,no,living,10,31
playerFootball.png,no,living,10,32
mouse.jpg,no,living,11,33
cat.png,no,living,11,34
whale.jpg,no,living,11,35
turtle.png,no,living,11,36
lionWalking.png,no,living,11,37
cougar.png,no,living,11,38
lynx.png,no,living,11,39
seahorse.png,no,living,11,40
kangaroo.png,no,living,12,41
macaque.png,no,living,12,42
penguin.png,no,living,12,43
bird_toucan.png,no,living,12,44
lobster.png,no,living,12,45
buffalo.png,no,living,12,46
grasshopper.png,no,living,12,47
clam.png,no,living,12,48
Baby-Bunny-Wallpaper-Free-Download.png,no,living,13,49
bird_eagle 2.png,no,living,13,50
bird_hen.png,no,living,13,51
chick.png,no,living,13,52
1bear_polarbear.png,no,living,13,53
wolf.png,no,living,13,54
bumblebee.png,no,living,13,55
swan.png,no,living,13,56
iguana.png,no,living,14,57
crab.png,no,living,14,58
seal_animal.png,no,living,14,59
starfish.png,no,living,14,60
dolphin.png,no,living,14,61
gecko.png,no,living,14,62
fish_rockbass.png,no,living,14,63
camel.png,no,living,14,64
lawnmower.png,no,nonliving,1,67
mannequin.jpg,no,nonliving,1,68
lightbulb.png,no,nonliving,1,69
pen.png,no,nonliving,1,70
rope_skipping.png,no,nonliving,1,71
statue_cat.jpg,no,nonliving,1,72
card_queenspade.png,no,nonliving,1,73
umbrella.png,no,nonliving,1,74
smokingpipe.png,no,nonliving,1,75
floortile.png,no,nonliving,1,76
truck_tanker.png,no,nonliving,1,77
bin_recycling.png,no,nonliving,1,78
bowtie.jpg,no,nonliving,1,79
ball_baseball.png,no,nonliving,1,80
egg_easter.jpg,no,nonliving,1,81
firstAidKit.png,no,nonliving,1,82
binoculars.png,no,nonliving,1,83
tuxedo.jpg,no,nonliving,1,84
motorcycle.png,no,nonliving,1,85
towel.png,no,nonliving,1,86
shrimp.png,no,nonliving,1,87
checkers_board.jpg,no,nonliving,1,88
drum_conga.png,no,nonliving,1,89
perfume.png,no,nonliving,1,90
stoveAntique.jpg,no,nonliving,1,91
waterfountain.png,no,nonliving,1,92
coffeepot.png,no,nonliving,1,93
dresser.png,no,nonliving,1,94
shoe_sneaker.png,no,nonliving,1,95
puzzle_animal.png,no,nonliving,1,96
bench_park.png,no,nonliving,1,97
bottle_plasticwater.png,no,nonliving,1,98
car_FerrariRed.jpg,no,nonliving,1,99
stapler.png,no,nonliving,1,100
rollerblade.png,no,nonliving,1,101
cake_cheese.png,no,nonliving,1,102
basketballhoop.png,no,nonliving,1,103
laces.jpg,no,nonliving,1,104
doublebass.png,no,nonliving,1,105
bells_christmas.png,no,nonliving,1,106
pirateflag.jpg,no,nonliving,1,107
brush_paint.png,no,nonliving,1,108
spiderweb.png,no,nonliving,1,109
tricycle.png,no,nonliving,1,110
staircase.jpg,no,nonliving,1,111
bucket_halloween.jpg,no,nonliving,1,112
skirt.jpg,no,nonliving,1,113
chain_rusty.png,no,nonliving,1,114
archery.jpg,no,nonliving,1,115
watergun.png,no,nonliving,1,116
cinnamonroll.png,no,nonliving,1,117
shirt_tshirt.png,no,nonliving,1,118
toothpaste.png,no,nonliving,1,119
bed.png,no,nonliving,1,120
partyDress.png,no,nonliving,1,121
remotecontrol.png,no,nonliving,1,122
bat_baseball.png,no,nonliving,1,123
tickets.png,no,nonliving,1,124
piano_keyboard.png,no,nonliving,1,125
paper towel.jpg,no,nonliving,1,126
gun_nerf.jpg,no,nonliving,2,127
paddle_bread.png,no,nonliving,2,128
pencilsharpener.png,no,nonliving,2,129
potFlowerClay.png,no,nonliving,2,130
stroller.png,no,nonliving,2,131
wateringcan.png,no,nonliving,2,132
hanger.png,no,nonliving,2,133
dog_food.png,no,nonliving,2,134
hat_tuque.png,no,nonliving,2,135
spoons_measuring.jpg,no,nonliving,2,136
concreteblock.png,no,nonliving,2,137
statue_head.png,no,nonliving,2,138
playground.png,no,nonliving,2,139
thumbtack.png,no,nonliving,2,140
bear_gummy.jpg,no,nonliving,2,141
ring_diamond.png,no,nonliving,2,142
toy_jack-in-the-box.jpg,no,nonliving,2,143
lock_combination.jpg,no,nonliving,2,144
pillow_heart.png,no,nonliving,2,145
bandage.jpg,no,nonliving,2,146
playdoh.png,no,nonliving,2,147
pillow.png,no,nonliving,2,148
candle.png,no,nonliving,2,149
domino.png,no,nonliving,2,150
knife_butter.png,no,nonliving,2,151
cup.jpg,no,nonliving,2,152
street sweeper.png,no,nonliving,2,153
tap_bathroom.jpg,no,nonliving,2,154
dress_blue.jpg,no,nonliving,2,155
belt.png,no,nonliving,2,156
horn_french.png,no,nonliving,2,157
gingerbreadman.jpg,no,nonliving,2,158
hammer.png,no,nonliving,2,159
walkitalkie.png,no,nonliving,2,160
ball_8.png,no,nonliving,2,161
socks_winter.png,no,nonliving,2,162
fork.png,no,nonliving,2,163
candycane.jpg,no,nonliving,2,164
globe.png,no,nonliving,2,165
gloves_winter.png,no,nonliving,2,166
notebook_black.png,no,nonliving,2,167
goggles_swim.png,no,nonliving,2,168
snow shoes.png,no,nonliving,2,169
headphones.png,no,nonliving,2,170
poles_ski.png,no,nonliving,2,171
diving_board.jpg,no,nonliving,2,172
wirebeadmaze.png,no,nonliving,2,173
chalkboarderaser.png,no,nonliving,2,174
backpack.png,no,nonliving,2,175
antlerheadband.png,no,nonliving,2,176
tray_icecube.png,no,nonliving,2,177
watercooler.png,no,nonliving,2,178
dog_leash.jpg,no,nonliving,2,179
mop.png,no,nonliving,2,180
puppettheatre.png,no,nonliving,2,181
gametable_airhockey.png,no,nonliving,2,182
candy.png,no,nonliving,2,183
pictureframe.png,no,nonliving,2,184
bread_unleavened.png,no,nonliving,2,185
